class_name,dominant_class_id,dominant_count,dominant_ratio,entropy_n5,entropy_persistent,event_sequence,frame_idx,gt_eligible_count,gt_member_count,is_background,label_count,minority_n5,minority_persistent,mixed_count,mixed_fraction,mixed_member_frames,num_observations,object_uid,operation,persistence_gate,persistent_alt_labels,raw_entropy,raw_frame,raw_minority_ratio,repeated_alt_count,repeated_alt_fraction,repeated_mixed,repeated_two_foreground,strict_member_frames,trace_updates,two_foreground_count,two_foreground_fraction
power outlet,132,23,0.7419354838709677,0.8238116333123173,0.8238116333123173,8480,399,31,31,False,2,0.25806451612903225,0.25806451612903225,31,1.0,"[3, 4, 19, 20, 21, 22, 23, 24, 152, 167, 259, 260, 262, 263, 265, 267, 268, 270, 276, 278, 283, 284, 286, 290, 292, 293, 294, 295, 296, 297, 298]",31,1179f21a-663c-4c4d-9c15-b898a7ab1e63,OBJECT_DENOISE,True,"[""120""]",0.8238116333123173,1995,0.25806451612903225,8,0.25806451612903225,True,False,[],101,0,0.0
person,121,1,1.0,0.0,0.0,8504,399,1,1,False,1,0.0,0.0,1,1.0,[156],1,1ddd1030-b4c8-4904-8cde-c064d20ad0c9,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,False,False,[],47,0,0.0
window,198,1,1.0,0.0,0.0,8502,399,1,1,False,1,0.0,0.0,0,0.0,[],1,2c0c3b93-7ace-435a-90d3-8e8d9a98ae48,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,False,False,[],61,0,0.0
chair,37,132,0.5866666666666667,0.5914293361841719,0.5914293361841719,8477,399,225,225,False,7,0.41333333333333333,0.41333333333333333,2,0.008888888888888889,"[259, 261]",225,2c880094-3099-4921-bb4b-5fd0e94366aa,OBJECT_DENOISE,True,"[""1"", ""159"", ""164"", ""77""]",0.5914293361841719,1995,0.41333333333333333,91,0.40444444444444444,False,False,"[259, 261]",196,2,0.008888888888888889
tissue box,174,118,0.6629213483146067,0.5145973968976544,0.5145973968976544,8499,399,178,178,False,12,0.3370786516853933,0.3370786516853933,41,0.2303370786516854,"[74, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 182, 184, 189, 190, 191, 192, 243, 244, 245, 246, 247, 248, 249, 272, 281, 287, 299, 304, 305]",178,2caf3b80-cda2-4b43-9f01-ba382b65a0f4,OBJECT_DENOISE,True,"[""117"", ""157"", ""182"", ""21"", ""23"", ""25"", ""56""]",0.5145973968976544,1995,0.3370786516853933,56,0.3146067415730337,True,True,"[74, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 182, 184, 192, 243, 244, 245, 246, 247, 248, 249]",148,31,0.17415730337078653
refrigerator,143,68,0.6126126126126126,0.5971802221400545,0.5971802221400545,8489,399,111,111,False,10,0.3873873873873874,0.3873873873873874,0,0.0,[],111,2ddbe2ae-0ea3-4b4c-87fc-37964d5884a6,OBJECT_DENOISE,True,"[""108"", ""136"", ""187"", ""197"", ""40"", ""42""]",0.5971802221400545,1995,0.3873873873873874,40,0.36036036036036034,False,False,[],145,0,0.0
picture,123,63,1.0,0.0,0.0,8484,399,63,63,False,1,0.0,0.0,0,0.0,[],63,3f7e1177-6039-4839-8964-6863234aa1f5,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,False,False,[],123,0,0.0
potted plant,131,1,1.0,0.0,0.0,8493,399,1,1,False,1,0.0,0.0,0,0.0,[],1,4297b57c-8de6-4770-9de6-4e03abd088ae,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,False,False,[],68,0,0.0
mat,103,39,0.8297872340425532,0.40277953313713716,0.40277953313713716,8492,399,47,47,False,6,0.17021276595744683,0.17021276595744683,0,0.0,[],47,45b5b2b1-2f7f-400c-b3dd-ffdff0b018bb,OBJECT_DENOISE,True,"[""165"", ""20"", ""25""]",0.40277953313713716,1995,0.17021276595744683,6,0.1276595744680851,False,False,[],106,0,0.0
speaker,160,40,0.6060606060606061,0.819164594835246,0.819164594835246,8483,399,66,66,False,3,0.3939393939393939,0.3939393939393939,66,1.0,"[15, 16, 17, 18, 19, 20, 21, 22, 24, 30, 31, 32, 210, 212, 213, 214, 215, 216, 232, 233, 234, 235, 236, 237, 238, 239, 240, 242, 245, 246, 247, 248, 249, 254, 356, 357, 364, 367, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399]",66,45bacda6-6e5e-43ad-a0d3-336b9098ecf9,OBJECT_DENOISE,True,"[""132"", ""135""]",0.819164594835246,1995,0.3939393939393939,26,0.3939393939393939,True,True,"[15, 16, 17, 18, 19, 20, 21, 22, 24, 30, 31, 32, 210, 212, 213, 214, 215, 216, 232, 233, 234, 235, 236, 237, 238, 239, 240, 242, 245, 246, 247, 248, 249, 254, 356, 357, 364, 367, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399]",119,66,1.0
coffee table,48,110,0.5045871559633027,0.6076938957799232,0.6076938957799232,8479,399,218,218,False,7,0.4954128440366973,0.4954128440366973,1,0.0045871559633027525,[249],218,49721ffc-36a5-499d-a2c2-901ed31360de,OBJECT_DENOISE,True,"[""159"", ""172"", ""60"", ""61"", ""70""]",0.6076938957799232,1995,0.4954128440366973,107,0.4908256880733945,False,False,[249],198,1,0.0045871559633027525
potted plant,131,5,1.0,0.0,0.0,8490,399,5,5,False,1,0.0,0.0,4,0.8,"[43, 44, 45, 382]",5,499f8682-5956-414c-b411-fff4730e54c7,OBJECT_DENOISE,False,[],0.0,1995,0.0,0,0.0,True,False,[],73,0,0.0
