case_uid,event_uid,event_frame_idx,sample_kind,routing_label,human_causal_role,scope_status,current_gt_id,current_gt_label,current_gt_purity,target_member_observation_count,target_dominant_gt_id,target_membership_dominant_fraction,target_joint_state,packet_exact_version_mismatch,first_strict_contamination_association_event_uid,first_strict_contamination_trace_kind
room0_large_r1_0033,room0_20260831T111035Z_5c9d86fa_e00006089,147,PROBABILITY_SAMPLE,WRONG_NEW_FALSE_SPLIT,PENDING,OUT_FALSE_SPLIT_OR_NON_ATTACH,13,cushion,0.9951006355932204,,,,,False,,
room0_large_r1_0072,room0_20260831T111035Z_5c9d86fa_e00016809,342,ERROR_HARVEST,SHOULD_HAVE_BEEN_NEW,CASCADE,OUT_CASCADE_OR_PRECONTAMINATED_TARGET,55,plant-stand,0.9463667820069204,45,35,1.0,ALREADY_CONTAMINATED,False,,
room0_large_r1_0083,room0_20260831T111035Z_5c9d86fa_e00015762,326,PROBABILITY_SAMPLE,SHOULD_HAVE_BEEN_NEW,CASCADE,OUT_CASCADE_OR_PRECONTAMINATED_TARGET,5,cushion,0.9913644214162349,419,77,0.5298329355608592,ALREADY_CONTAMINATED,True,,OBJECT_MERGE_REQUIRES_PARENT_DAG_BACKTRACE
room0_large_r1_0085,room0_20260831T111035Z_5c9d86fa_e00016561,339,PROBABILITY_SAMPLE,SHOULD_HAVE_BEEN_NEW,CASCADE,OUT_CASCADE_OR_PRECONTAMINATED_TARGET,8,cushion,0.9860917941585535,580,9,0.6089965397923875,ALREADY_CONTAMINATED,True,,OBJECT_MERGE_REQUIRES_PARENT_DAG_BACKTRACE
room0_large_r1_0089,room0_20260831T111035Z_5c9d86fa_e00004403,109,ERROR_HARVEST,WRONG_NEW_FALSE_SPLIT,CASCADE,OUT_FALSE_SPLIT_OR_NON_ATTACH,9,sofa,1.0,,,,,False,,
room0_large_r1_0114,room0_20260831T111035Z_5c9d86fa_e00010849,231,PROBABILITY_SAMPLE,SHOULD_HAVE_BEEN_NEW,CASCADE,OUT_CASCADE_OR_PRECONTAMINATED_TARGET,24,undefined,0.992638036809816,92,59,0.5108695652173914,ALREADY_CONTAMINATED,True,room0_20260831T111035Z_5c9d86fa_e00007309,DIRECT_OBSERVATION_ASSOCIATION
room0_large_r1_0143,room0_20260831T111035Z_5c9d86fa_e00015562,324,PROBABILITY_SAMPLE,SHOULD_HAVE_BEEN_NEW,ROOT,OUT_CASCADE_OR_PRECONTAMINATED_TARGET,8,cushion,0.9949103784023013,549,9,0.6142595978062158,ALREADY_CONTAMINATED,True,,OBJECT_MERGE_REQUIRES_PARENT_DAG_BACKTRACE
room0_large_r1_0169,room0_20260831T111035Z_5c9d86fa_e00008099,183,ERROR_HARVEST,WRONG_NEW_FALSE_SPLIT,ROOT,OUT_FALSE_SPLIT_OR_NON_ATTACH,86,blanket,0.9975388271238225,,,,,False,,
v2_r2_001,room0_20260831T111035Z_5c9d86fa_e00012493,266,V2_R2_PRIVATE_BALANCED,WRONG_NEW_FALSE_SPLIT,ROOT,OUT_FALSE_SPLIT_OR_NON_ATTACH,60,rug,0.9983279678570537,,,,,False,,
v2_r2_005,room0_20260831T111035Z_5c9d86fa_e00010066,217,V2_R2_PRIVATE_BALANCED,WRONG_ATTACH_EXISTING,CASCADE,OUT_CASCADE_OR_PRECONTAMINATED_TARGET,86,blanket,0.9644748455428067,93,32,0.967741935483871,ALREADY_CONTAMINATED,True,room0_20260831T111035Z_5c9d86fa_e00009856,DIRECT_OBSERVATION_ASSOCIATION
v2_r2_007,room0_20260831T111035Z_5c9d86fa_e00006039,145,V2_R2_PRIVATE_BALANCED,WRONG_NEW_FALSE_SPLIT,ROOT,OUT_FALSE_SPLIT_OR_NON_ATTACH,77,sofa,0.9859443631039532,,,,,False,,
v2_r2_010,room0_20260831T111035Z_5c9d86fa_e00010006,216,V2_R2_PRIVATE_BALANCED,WRONG_ATTACH_EXISTING,ROOT,OUT_CASCADE_OR_PRECONTAMINATED_TARGET,86,blanket,0.9699453551912568,91,32,0.978021978021978,ALREADY_CONTAMINATED,True,room0_20260831T111035Z_5c9d86fa_e00009856,DIRECT_OBSERVATION_ASSOCIATION
v2_r2_011,room0_20260831T111035Z_5c9d86fa_e00014199,299,V2_R2_PRIVATE_BALANCED,SHOULD_HAVE_BEEN_NEW,ROOT,OUT_CASCADE_OR_PRECONTAMINATED_TARGET,10,table,0.9378612716763006,94,92,0.5376344086021505,ALREADY_CONTAMINATED,False,room0_20260831T111035Z_5c9d86fa_e00008322,DIRECT_OBSERVATION_ASSOCIATION
v2_r2_013,room0_20260831T111035Z_5c9d86fa_e00011993,253,V2_R2_PRIVATE_BALANCED,SHOULD_HAVE_BEEN_NEW,ROOT,OUT_CASCADE_OR_PRECONTAMINATED_TARGET,19,blinds,0.9911390894444776,132,15,0.8181818181818182,ALREADY_CONTAMINATED,True,room0_20260831T111035Z_5c9d86fa_e00005670,DIRECT_OBSERVATION_ASSOCIATION
