gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,2,cabinet,13,27948,1,,
1,3,book,-1,0,,,
2,4,book,7,458,1,,
3,5,pillow,-1,0,,,
4,6,lamp,3,3092,1,,
5,7,table,4,547,15,,
6,8,pillow,34,3081,1,,
7,9,chair,20,34537,6,,
8,10,table,-1,0,,,
9,11,table,35,13876,2,,
10,12,book,-1,0,,,
11,13,pillow,54,2985,1,,
12,15,curtain,-1,0,,,
13,17,window,-1,0,,,
14,18,pillow,28,2532,1,,
15,19,curtain,-1,0,,,
16,21,curtain,-1,0,,,
17,22,curtain,-1,0,,,
18,26,window,-1,0,,,
19,27,table,26,243,53,,
20,28,window,-1,0,,,
21,29,window,-1,0,,,
22,30,curtain,-1,0,,,
23,32,pillow,24,3553,7,,
24,34,curtain,-1,0,,,
25,35,plant,44,1629,6,,
26,36,door,5,25366,1,,
27,38,window,-1,0,,,
28,39,chair,2,7535,2,,
29,40,lamp,-1,0,,,
30,41,chair,0,6579,3,,
31,42,window,-1,0,,,
32,43,pot,36,1351,1,,
33,45,vase,19,1650,2,,
34,49,lamp,-1,0,,,
35,50,curtain,-1,0,,,
36,55,stand,-1,0,,,
37,58,curtain,-1,0,,,
38,59,book,55,809,7,,
39,61,window,16,12593,13,,
40,62,window,-1,0,,,
41,65,plate,12,716,14,,
42,66,plate,-1,0,,,
43,69,pillow,42,2403,1,,
44,70,pillow,31,2695,1,,
45,71,pillow,1,2849,1,,
46,72,pillow,49,2460,1,,
47,73,chair,50,16359,2,,
48,74,chair,39,15944,2,,
49,75,basket,60,3688,7,,
50,77,chair,52,35297,8,,
51,78,lamp,-1,0,,,
52,83,lamp,-1,0,,,
53,85,book,-1,0,,,
54,87,lamp,51,2556,1,,
55,90,book,-1,0,,,
56,91,window,-1,0,,,
57,92,book,-1,0,,,
58,93,table,-1,0,,,
