gt_relation_index,subject_object_id,object_object_id,predicate,subject_pred_original_id,object_pred_original_id,hit_at_1
0,73,74,near,50,39,0
1,74,73,near,39,50,0
2,72,73,on,49,50,0
3,69,74,on,42,39,0
4,8,9,on,34,20,0
5,70,9,on,31,20,0
6,18,9,on,28,20,0
7,70,8,near,31,34,0
8,8,70,near,34,31,0
9,71,9,on,1,20,0
10,71,18,near,1,28,0
11,18,71,near,28,1,0
12,13,77,on,54,52,0
13,5,77,on,-1,52,0
14,32,77,on,24,52,0
15,5,13,near,-1,54,0
16,13,5,near,54,-1,0
17,87,93,on,51,-1,0
18,90,93,on,-1,-1,0
19,92,10,on,-1,-1,0
20,35,55,in,44,-1,0
21,55,11,on,-1,35,0
22,6,7,on,3,4,0
23,45,2,on,19,13,0
24,65,2,on,12,13,0
