gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,2,chair,32,3930,2,,
1,3,chair,42,2582,1,,
2,4,screen,26,18510,1,,
3,6,window,15,5089,12,,
4,12,chair,25,5392,2,,
5,13,chair,24,17203,2,,
6,15,chair,-1,0,,,
7,17,chair,22,3699,3,,
8,19,chair,19,4050,5,,
9,20,chair,-1,0,,,
10,31,chair,2,5216,6,,
11,34,clock,28,821,1,,
12,48,lamp,41,7264,15,,
13,49,table,18,2394,1,,
14,51,bench,0,16267,3,,
15,52,bench,1,16309,3,,
16,60,door,20,3897,1,,
17,61,lamp,12,7426,3,,
18,65,lamp,-1,0,,,
19,69,chair,16,18019,2,,
20,70,window,-1,0,,,
21,71,lamp,-1,0,,,
