gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,3,pillow,-1,0,,,
1,4,basket,11,4810,1,,
2,6,door,15,28980,1,,
3,7,pillow,-1,0,,,
4,9,pillow,-1,0,,,
5,13,pillow,-1,0,,,
6,15,curtain,26,26612,2,,
7,17,book,-1,0,,,
8,18,pillow,-1,0,,,
9,19,book,-1,0,,,
10,22,lamp,52,3273,12,,
11,23,curtain,-1,0,,,
12,26,window,-1,0,,,
13,27,curtain,-1,0,,,
14,29,window,-1,0,,,
15,32,bed,35,15026,1,,
16,35,book,-1,0,,,
17,36,cabinet,7,14571,1,,
18,37,window,-1,0,,,
19,39,pillow,-1,0,,,
20,40,lamp,44,5479,5,,
21,42,plate,-1,0,,,
22,43,lamp,-1,0,,,
23,45,lamp,30,3091,1,,
24,48,pillow,37,2638,2,,
25,51,vase,3,80,7,,
26,52,lamp,39,5150,1,,
27,53,lamp,12,6216,9,,
28,54,plant,1,3722,2,,
29,55,window,-1,0,,,
