gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,8,bench,32,4458,3,,
1,9,chair,73,333,3,,
2,10,chair,83,466,2,,
3,12,cabinet,19,4803,4,,
4,14,chair,37,4374,4,,
5,15,table,16,5110,2,,
6,16,chair,58,883,2,,
7,20,table,-1,0,,,
8,22,pillow,7,494,1,,
9,25,chair,34,2885,2,,
10,27,chair,86,1912,3,,
11,29,lamp,64,1741,11,,
12,32,lamp,-1,0,,,
13,33,lamp,-1,0,,,
14,36,window,27,1951,5,,
15,37,chair,-1,0,,,
16,39,curtain,1,1235,2,,
17,42,window,51,404,5,,
18,51,table,53,7544,2,,
19,54,pillow,-1,0,,,
20,55,bench,-1,0,,,
21,56,door,57,4671,3,,
22,61,pillow,21,759,1,,
23,72,chair,56,1802,2,,
24,76,chair,69,467,2,,
25,82,window,4,1497,4,,
26,83,pillow,-1,0,,,
27,85,lamp,88,1278,5,,
28,86,lamp,-1,0,,,
29,91,box,65,92,4,,
30,92,bottle,-1,0,,,
31,94,bottle,-1,0,,,
32,97,curtain,3,886,2,,
33,98,chair,72,1613,2,,
34,100,chair,52,1327,3,,
35,101,clock,10,213,1,,
36,102,lamp,30,1978,7,,
37,103,curtain,2,1098,14,,
38,105,window,20,527,4,,
39,108,window,8,441,2,,
40,111,curtain,28,976,2,,
41,112,curtain,-1,0,,,
