gt_relation_index,subject_object_id,object_object_id,predicate,subject_pred_original_id,object_pred_original_id,hit_at_1
0,51,27,with,53,86,0
1,51,10,with,53,83,0
2,51,9,with,53,73,0
3,51,76,with,53,69,0
4,51,16,with,53,58,0
5,51,100,with,53,52,0
6,51,98,with,53,72,0
7,51,72,with,53,56,0
8,22,14,on,7,37,0
9,61,14,on,21,37,0
10,83,14,on,-1,37,0
11,54,14,on,-1,37,0
12,14,15,near,37,16,0
13,15,14,near,16,37,0
14,25,54,near,34,-1,0
15,14,25,near,37,34,0
16,25,14,near,34,37,0
17,25,8,near,34,32,0
18,8,25,near,32,34,0
