scope,n_exclude,num_classes,point_count,miou,mrecall,mprecision,mf1score,fmiou,point_accuracy,acc0.15,acc0.25,acc0.50,acc0.75
room0,1,28,7672729,14.32157603556651,35.28704910530787,16.056301282175692,18.96637856476676,21.99285559373742,36.41231170812888,9,7,3,1
room1,1,24,9538679,13.815553094348761,38.98894460182221,17.164389769661724,19.123413776049954,16.46958775578133,32.58398778279466,9,5,3,0
room2,1,21,8956870,10.312796422469152,38.00901882864398,17.540091748617336,14.722395897212046,7.384300338936617,18.06799696769072,6,4,1,0
office0,1,23,8312664,10.630794556313415,39.72366922856818,10.726643320660466,15.332438874477084,8.950868963593418,22.057020469009693,6,5,1,0
office1,1,21,6566053,8.334797625133968,28.889998481283314,12.11170360297635,12.24342341640121,6.11854454054129,20.20711681736349,5,2,1,0
office2,1,20,10116343,16.01962890057657,40.3665409545284,18.55021075836846,21.043067591456673,11.423198322200404,24.353869772901135,7,6,2,1
office3,1,26,8771925,12.290410180017544,30.258876665703927,17.777708251184922,16.91616123462145,13.286941964830687,25.281417704779734,9,6,2,1
office4,1,15,8083012,26.470978191170524,51.200248940028345,31.046864484444264,32.70745515359623,25.668725039983652,31.374170915495363,7,7,4,1
all_8_scenes,1,51,68227290,14.556978627280376,42.51217343431249,22.075391084968384,20.60610436262631,13.73839279607712,26.232800687232338,20,13,2,0
room0,4,25,4360982,20.125683908723218,39.634421637287765,23.651909014869098,25.405101532021746,36.64410820063557,50.31690110163262,9,7,6,2
room1,4,21,4048977,22.91560769164564,43.20765558239349,26.653679827654408,28.38084206625085,40.02896104763333,55.15094306537181,8,7,5,2
room2,4,18,3849357,29.780927341720087,44.33006415426805,40.912794326733106,34.222333383701574,34.866961309683134,42.028110149305455,7,7,6,4
office0,4,20,4202848,27.797202628744483,48.52036676209616,32.043586909501336,34.057554830550515,49.24000917296667,61.52811141397453,10,9,7,2
office1,4,18,3855438,20.943198583367924,33.704998228163866,25.876516926194476,25.100623311296033,17.482693049988217,34.41398876081006,6,5,3,2
office2,4,17,3340444,30.972228674234824,50.27582987415421,38.33873934626313,35.84752288674501,65.20296856028841,70.62318661830584,8,8,6,4
office3,4,23,2992769,21.027033721767747,32.67131605022036,30.596132658575474,24.11283828882948,35.73922931505777,42.36782057018099,7,6,5,4
office4,4,12,2045292,33.05400479137459,58.84750294510067,38.72166642364172,38.64818338558037,26.784342682313287,30.921501673110736,6,6,4,2
all_8_scenes,4,48,28758853,25.36564781042598,45.09444526057646,39.54799556174255,32.01780467528774,38.25903617826706,49.436773434601164,22,18,11,5
room0,6,23,4085377,19.929851843087345,38.73306699705193,23.764315156047445,24.747732742187715,40.68411421813301,51.704432663129985,8,6,5,2
room1,6,19,3772646,22.763010098035622,42.524472470635274,26.884956682382306,27.821594533974096,42.493013150061245,55.98993385544257,7,6,4,2
room2,6,16,3513164,30.70822627427465,43.6901577416007,43.21038125884054,34.40614006707339,38.42919254716343,42.26457973496256,6,6,5,4
office0,6,19,4079896,26.502526607990713,45.81917405622774,30.970185331441808,32.196117869637945,49.162646622716494,60.37345069580204,9,8,6,2
office1,6,17,3599614,16.41305265746001,29.92288227591034,21.51897616259835,20.758386595157585,11.762442767755198,29.894872061282125,5,4,2,1
office2,6,15,3226799,31.502758858077563,50.57562671117994,39.786561333257545,35.92426912538711,66.6001538470208,71.28002085038455,7,7,5,4
office3,6,21,2792153,23.42936323422254,35.782869959765165,33.91040578917449,26.930800826159413,38.36258459731165,45.411945548829166,7,6,5,5
office4,6,10,1071540,49.420391381918236,62.32639781586236,57.039641928943965,53.202946316882795,52.37269239944449,53.67928402112847,6,6,5,4
all_8_scenes,6,46,26203935,27.63743328990928,45.09408941195769,42.59949706973057,34.21515314251026,40.73802700502858,51.10663722833995,22,18,11,6
