method,scene,gt_objects,predicted_objects,geometry_matched,geometry_coverage,recall_at_1,recall_at_5,mean_recall_at_1,mean_recall_at_5,classes_present
ali,room_0,59,72,31,0.5254237288135594,0.2033898305084746,0.3389830508474576,0.274074074074074,0.4747089947089947,15
ali,room_1,30,54,13,0.43333333333333335,0.2,0.3333333333333333,0.3611111111111111,0.498015873015873,12
ali,room_2,40,49,19,0.475,0.1,0.375,0.2692307692307692,0.4538461538461539,13
ali,office_0,15,35,11,0.7333333333333333,0.13333333333333333,0.5333333333333333,0.2222222222222222,0.5,9
ali,office_1,11,25,7,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.3333333333333333,0.6666666666666666,9
ali,office_2,29,45,15,0.5172413793103449,0.20689655172413793,0.4827586206896552,0.3111111111111111,0.48395061728395056,9
ali,office_3,42,57,25,0.5952380952380952,0.11904761904761904,0.5,0.16666666666666666,0.4404040404040404,12
ali,office_4,22,44,17,0.7727272727272727,0.22727272727272727,0.6363636363636364,0.5125,0.74375,8
ali,all_8_scenes,248,381,138,0.5564516129032258,0.1774193548387097,0.43951612903225806,0.32322688334593097,0.5530018581506676,24
main,room_0,59,75,35,0.5932203389830508,0.288135593220339,0.4745762711864407,0.39238095238095233,0.5553439153439153,15
main,room_1,30,68,20,0.6666666666666666,0.3333333333333333,0.5666666666666667,0.4246031746031746,0.628968253968254,12
main,room_2,40,78,23,0.575,0.1,0.425,0.2076923076923077,0.44358974358974357,13
main,office_0,15,79,12,0.8,0.2,0.5333333333333333,0.3333333333333333,0.5,9
main,office_1,11,55,8,0.7272727272727273,0.2727272727272727,0.45454545454545453,0.2777777777777778,0.4444444444444444,9
main,office_2,29,81,26,0.896551724137931,0.27586206896551724,0.6551724137931034,0.2962962962962963,0.5555555555555556,9
main,office_3,42,97,31,0.7380952380952381,0.07142857142857142,0.6666666666666666,0.125,0.6952020202020203,12
main,office_4,22,79,20,0.9090909090909091,0.13636363636363635,0.7272727272727273,0.375,0.74375,8
main,all_8_scenes,248,612,175,0.7056451612903226,0.2056451612903226,0.5564516129032258,0.31585923721340387,0.5459721434870245,24
