gt_index,gt_instance_id,gt_label,gt_voxels,best_predicted_index,best_predicted_label,best_voxel_iou,maximum_coverage,overlap_prediction_count,overlap_prediction_count_coverage_0p01,overlap_prediction_count_coverage_0p05
0,2,cabinet,429,5,closet door,0.35,0.42424242424242425,2,2,2
1,3,book,12,,,0.0,0.0,0,0,0
2,4,book,12,,,0.0,0.0,0,0,0
3,6,lamp,308,17,lamp,0.15465587044534412,0.6201298701298701,5,5,4
4,7,table,56,17,lamp,0.05008944543828265,1.0,1,1,1
5,9,sofa,499,13,poster,0.27229299363057324,0.6412825651302605,3,3,2
6,20,undefined,35,17,lamp,0.03130590339892665,1.0,1,1,1
7,25,floor,1036,14,closet door,0.20253164556962025,0.3185328185328185,10,8,3
8,27,table,44,17,lamp,0.03935599284436494,1.0,1,1,1
9,30,blinds,13,,,0.0,0.0,0,0,0
10,39,stool,88,67,end table,0.06802721088435375,0.3068181818181818,4,4,2
11,40,lamp,275,12,cabinet,0.2830188679245283,0.4909090909090909,4,4,3
12,41,stool,57,17,lamp,0.050983899821109124,1.0,1,1,1
13,42,window,109,0,stool,0.05291005291005291,0.09174311926605505,3,3,2
14,45,vase,58,,,0.0,0.0,0,0,0
15,46,pillar,91,15,sofa chair,0.088,0.12087912087912088,1,1,1
16,47,undefined,178,12,cabinet,0.17312072892938496,0.42696629213483145,3,2,2
17,48,wall,1000,12,cabinet,0.11416666666666667,0.137,7,6,3
18,50,blinds,121,0,stool,0.12834224598930483,0.19834710743801653,3,3,1
19,57,wall,596,0,stool,0.12643678160919541,0.12919463087248323,9,6,4
20,60,rug,553,17,lamp,0.21174764321972445,0.5280289330922242,7,5,3
21,62,window,9,,,0.0,0.0,0,0,0
22,65,plate,33,14,closet door,0.003067484662576687,0.030303030303030304,1,1,0
23,67,undefined,26,,,0.0,0.0,0,0,0
24,68,vent,145,2,stool,0.09251101321585903,0.14482758620689656,1,1,1
25,71,cushion,70,13,poster,0.12121212121212122,0.5714285714285714,2,2,2
26,79,candle,20,,,0.0,0.0,0,0,0
27,81,undefined,1332,39,blinds,0.1859267734553776,0.3611111111111111,9,3,3
28,85,book,13,,,0.0,0.0,0,0,0
29,88,ceiling,6075,70,blinds,0.21234890558640968,0.2139917695473251,37,13,3
30,11,table,262,33,pillow,0.35927152317880795,0.8282442748091603,7,6,6
31,23,wall,2,,,0.0,0.0,0,0,0
32,1,undefined,67,19,ceiling,0.016376663254861822,0.23880597014925373,1,1,1
33,18,cushion,48,13,poster,0.152317880794702,0.9583333333333334,2,2,2
34,33,wall,1756,44,ceiling,0.3187980945401246,0.49544419134396356,5,5,3
35,36,door,271,17,lamp,0.021323529411764706,0.1070110701107011,3,3,2
36,61,window,249,26,ceiling light,0.11400651465798045,0.3172690763052209,3,3,3
37,14,undefined,27,19,ceiling,0.029157667386609073,1.0,1,1,1
38,16,switch,24,19,ceiling,0.02591792656587473,1.0,2,2,2
39,0,unknown,1002,19,ceiling,0.130791788856305,0.2375249500998004,4,3,3
40,31,wall-plug,15,0,stool,0.16666666666666666,1.0,1,1,1
41,52,undefined,8,2,stool,0.037383177570093455,0.5,1,1,1
42,49,lamp,21,0,stool,0.23333333333333334,1.0,1,1,1
43,54,undefined,44,1,pillow,0.25,0.7045454545454546,3,3,3
44,75,basket,57,15,sofa chair,0.2911392405063291,0.40350877192982454,3,3,3
45,77,sofa,375,33,pillow,0.2812071330589849,0.5466666666666666,8,7,2
46,86,blanket,147,67,end table,0.3170731707317073,0.4013605442176871,5,5,4
47,12,book,72,28,pillow,0.3404255319148936,0.6527777777777778,3,3,3
48,59,book,69,28,pillow,0.43023255813953487,0.6086956521739131,3,3,3
49,43,pot,66,28,pillow,0.5584415584415584,0.6515151515151515,3,3,3
50,24,undefined,25,28,pillow,0.3620689655172414,0.84,3,3,3
51,55,plant-stand,48,29,pillow,0.21428571428571427,0.9166666666666666,3,3,3
52,35,indoor-plant,57,29,pillow,0.14925373134328357,0.9473684210526315,5,5,4
53,70,cushion,107,13,poster,0.11813186813186813,0.6542056074766355,2,2,2
54,8,cushion,135,17,lamp,0.1127886323268206,0.9407407407407408,2,2,2
55,63,picture,557,44,ceiling,0.2841091492776886,0.9533213644524237,2,2,2
56,73,chair,496,33,pillow,0.34394904458598724,0.5443548387096774,8,7,3
57,74,chair,328,46,radiator,0.25132275132275134,0.3932926829268293,3,3,3
58,10,table,136,33,pillow,0.13192182410423453,0.5955882352941176,4,4,2
59,72,cushion,127,31,pillow,0.3333333333333333,0.889763779527559,4,4,4
60,89,wall,804,39,blinds,0.10594130279169649,0.18407960199004975,10,6,5
61,93,table,41,,,0.0,0.0,0,0,0
62,5,cushion,56,,,0.0,0.0,0,0,0
63,69,cushion,93,46,radiator,0.10697674418604651,0.2903225806451613,3,3,3
64,92,book,41,33,pillow,0.006711409395973154,0.0975609756097561,1,1,1
65,13,cushion,46,,,0.0,0.0,0,0,0
66,32,cushion,65,15,sofa chair,0.13402061855670103,0.3230769230769231,4,4,4
67,84,pillar,258,65,floor,0.10393258426966293,0.1821705426356589,5,3,2
68,90,book,40,,,0.0,0.0,0,0,0
69,19,blinds,239,38,armchair,0.8888888888888888,0.9037656903765691,4,4,3
70,21,blinds,262,45,coffee table,0.1552346570397112,0.16793893129770993,3,3,3
71,26,window,167,46,radiator,0.07216494845360824,0.1497005988023952,5,5,3
72,38,window,287,65,floor,0.15300546448087432,0.1951219512195122,3,3,3
73,87,lamp,68,,,0.0,0.0,0,0,0
74,15,blinds,270,39,blinds,0.3643724696356275,1.0,1,1,1
75,17,window,103,39,blinds,0.13900134952766532,1.0,1,1,1
76,80,wall-plug,24,33,pillow,0.04293381037567084,1.0,1,1,1
77,64,vent,14,48,armchair,0.05172413793103448,0.8571428571428571,2,2,2
78,83,lamp,532,62,end table,0.22932330827067668,0.22932330827067668,14,13,3
79,78,lamp,154,34,coffee table,0.5165289256198347,0.8116883116883117,6,6,5
80,44,wall-plug,27,33,pillow,0.04830053667262969,1.0,1,1,1
81,51,undefined,18,34,coffee table,0.08450704225352113,1.0,3,3,3
82,56,wall-plug,19,33,pillow,0.03398926654740608,1.0,1,1,1
83,91,window,37,34,coffee table,0.004016064257028112,0.02702702702702703,1,1,0
84,34,blinds,80,34,coffee table,0.01384083044982699,0.05,1,1,1
85,37,undefined,6,,,0.0,0.0,0,0,0
86,53,undefined,10,34,coffee table,0.046948356807511735,1.0,1,1,1
87,28,window,187,33,pillow,0.0332409972299169,0.12834224598930483,2,2,2
88,22,blinds,302,34,coffee table,0.2972292191435768,0.39072847682119205,8,6,5
89,29,window,148,15,sofa chair,0.03208556149732621,0.04054054054054054,5,5,0
90,58,blinds,143,15,sofa chair,0.021739130434782608,0.027972027972027972,6,6,0
