predicted_index,gt_instance_id,voxel_iou,purity,coverage,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,12,0.25617229907196637,0.2763505855685682,0.7781914893617021,0.2858084424338656,0.28181704146080677,True,False
1,51,0.08180208102723047,0.48650427913100724,0.08953234795250788,0.08007065057403591,0.4916414030840744,False,False
3,10,0.14928935662363024,0.8213290887385595,0.15430045228572498,0.042431065241955605,1.0762005709280762,False,False
4,35,0.12218649517684887,0.12327656123276562,0.9325153374233128,0.05108556832694764,0.2851385930599338,False,False
5,14,0.2700841622035195,0.2974510216979145,0.745905969360803,0.1492063492063492,0.596297450723236,False,False
6,5,0.04041141340411413,0.8982300884955752,0.04059729351376575,0.005974307521410399,0.8838694585932363,False,False
7,63,0.08126259234385494,0.1569390402075227,0.14421930870083433,0.3025,0.37165135063403204,False,False
10,4,0.016036271795027843,0.9117647058823529,0.01606119712300378,0.000405702160088125,1.8879103265692145,True,False
12,44,0.26263023392962453,0.46340617412417623,0.37740112994350283,0.25125620681209226,0.4797456229980175,False,False
13,7,0.21933192551353425,0.26216154199173936,0.5731126160020065,0.2839415337671479,0.2942947326003685,True,True
18,0,0.08759201963085458,0.23783314020857474,0.12177395431622665,0.023965481204898664,0.7335136710236616,False,False
20,9,0.1656193153629899,0.58125362739408,0.18805745939348417,0.14582090541525816,1.2257339204263191,True,False
23,8,0.02181265962587147,0.9937106918238994,0.021815671384190542,0.006430053563673213,0.8209084658441667,False,False
25,17,0.1770956316410862,0.9146341463414634,0.18007202881152462,0.059234882764294526,0.13904650960777895,False,False
26,24,0.1128428653194206,0.28813940415964023,0.15646175447164398,0.025593168765887915,2.2502149302121692,False,False
27,58,0.12018327605956472,0.23846538479021773,0.19504033907127188,0.641202439106321,2.336575274781436,True,False
