gt_index,gt_instance_id,gt_label,gt_voxels,best_predicted_index,best_predicted_label,best_voxel_iou,maximum_coverage,overlap_prediction_count,overlap_prediction_count_coverage_0p01,overlap_prediction_count_coverage_0p05
0,15,blinds,2165,35,blinds,1.0,1.0,1,1,1
1,16,door,3535,35,blinds,0.4679371619881535,0.514002828854314,2,1,1
2,24,wall,16381,34,ceiling,0.1128428653194206,0.15646175447164398,9,5,2
3,61,chair,9842,1,sofa chair,0.07667244367417678,0.112375533428165,7,7,1
4,10,ceiling,26753,7,closet door,0.14928935662363024,0.15430045228572498,11,8,4
5,14,undefined,1893,11,picture,0.2700841622035195,0.745905969360803,2,1,1
6,21,lamp,692,7,closet door,0.10471406491499227,0.7832369942196532,2,2,2
7,37,lamp,774,11,picture,0.07058367267791352,0.4702842377260982,1,1,1
8,40,undefined,50,11,picture,0.004817762882279012,0.46,1,1,1
9,44,desk-organizer,3540,20,potted plant,0.26263023392962453,0.37740112994350283,2,2,2
10,54,undefined,75,11,picture,0.015157894736842105,0.96,1,1,1
11,64,tablet,223,1,sofa chair,0.010252904989747095,0.26905829596412556,2,1,1
12,8,wall,14485,1,sofa chair,0.1403538522412526,0.17141870900932,6,5,3
13,29,undefined,228,,,0.0,0.0,0,0,0
14,30,anonymize_picture,1165,4,tv,0.20145089285714285,0.9296137339055794,1,1,1
15,46,undefined,90,8,chair,0.07212317666126418,0.9888888888888889,1,1,1
16,48,undefined,91,11,picture,0.012133891213389121,0.6373626373626373,1,1,1
17,50,switch,117,8,chair,0.0931174089068826,0.9829059829059829,1,1,1
18,51,wall,8254,1,sofa chair,0.19262680694551365,0.27841046765204747,5,5,3
19,57,clock,156,4,tv,0.02830188679245283,0.9615384615384616,1,1,1
20,66,tv-screen,2704,4,tv,0.22274881516587677,0.5388313609467456,3,3,1
21,4,chair,32812,11,picture,0.1349187163836345,0.13717542362550286,17,9,4
22,3,anonymize_picture,1619,4,tv,0.04933211900425015,0.20074119827053738,1,1,1
23,5,rug,15001,14,potted plant,0.16637800994468965,0.19852009866008932,8,5,2
24,63,floor,1678,13,stuffed animal,0.08126259234385494,0.14421930870083433,2,2,2
25,12,table,1880,4,tv,0.25617229907196637,0.7781914893617021,2,2,2
26,42,undefined,2127,34,ceiling,0.020839121978327314,0.10578279266572638,1,1,1
27,22,indoor-plant,293,34,ceiling,0.03108517562563124,0.9453924914675768,1,1,1
28,11,camera,83,4,tv,0.015102888427411743,0.963855421686747,1,1,1
29,25,wall-plug,61,4,tv,0.010949594109873513,0.9508196721311475,1,1,1
30,31,wall-plug,42,4,tv,0.007743153918791312,0.9761904761904762,1,1,1
31,45,wall-plug,32,4,tv,0.006044578768417076,1.0,1,1,1
32,0,unknown,6742,26,floor,0.08759201963085458,0.18065855829130822,7,4,4
33,17,vent,833,33,speaker,0.1770956316410862,0.4897959183673469,2,2,2
34,58,table,26897,21,sofa chair,0.18595357820773253,0.20760679629698478,10,8,4
35,7,sofa,3987,21,sofa chair,0.21933192551353425,0.5731126160020065,4,2,2
36,9,sofa,10651,28,window,0.1656193153629899,0.24730072293681343,5,4,3
37,34,bin,379,26,floor,0.03933803581117743,0.38258575197889183,1,1,1
38,28,tissue-paper,1274,,,0.0,0.0,0,0,0
39,52,other-leaf,67,1,sofa chair,0.011599297012302284,0.9850746268656716,2,2,2
40,32,undefined,62,7,closet door,0.012134473841257211,0.9838709677419355,1,1,1
41,35,panel,163,8,chair,0.12218649517684887,0.9325153374233128,1,1,1
42,36,switch,47,8,chair,0.03727714748784441,0.9787234042553191,1,1,1
43,19,bin,475,26,floor,0.01211340206185567,0.09894736842105263,1,1,1
44,18,wall,206,35,blinds,0.021542438604049977,0.24271844660194175,2,1,1
45,27,wall-plug,5,,,0.0,0.0,0,0,0
46,1,anonymize_text,501,,,0.0,0.0,0,0,0
47,55,undefined,42,11,picture,0.00799831614396969,0.9047619047619048,1,1,1
48,56,pillar,45,34,ceiling,0.00460725924261153,0.9111111111111111,1,1,1
49,26,wall,829,34,ceiling,0.08623771224307418,0.9312424607961399,1,1,1
50,20,blinds,678,34,ceiling,0.0607202216066482,0.8082595870206489,1,1,1
51,23,plant-stand,53,34,ceiling,0.004828747894441325,0.8113207547169812,1,1,1
