predicted_index,predicted_label,predicted_voxels,best_gt_instance_id,best_gt_label,best_voxel_iou,purity_at_best_iou,coverage_at_best_iou,maximum_purity,overlap_gt_count,overlap_gt_count_purity_0p01,overlap_gt_count_purity_0p05
0,trash bin,209,61,chair,0.05228531855955679,0.722488038277512,0.05335689045936396,0.8373205741626795,5,4,4
1,sofa chair,1572,51,wall,0.2099934683213586,0.40903307888040713,0.3014533520862635,0.8454198473282443,9,9,7
2,trash bin,209,61,chair,0.04576737783895389,0.6363636363636364,0.0469964664310954,0.937799043062201,4,4,4
3,chair,333,,,0.0,0.0,0.0,0.0,0,0,0
4,tv,1421,12,table,0.29045092838196285,0.30823363828289935,0.8342857142857143,0.741027445460943,12,10,7
5,coffee table,423,51,wall,0.08812260536398467,0.48936170212765956,0.0970464135021097,0.48936170212765956,1,1,1
6,power outlet,11,10,ceiling,0.0015861571737563085,1.0,0.0015861571737563085,1.0,4,4,4
7,closet door,1351,10,ceiling,0.15969209237228832,0.844559585492228,0.16452775775054074,0.844559585492228,8,7,6
8,chair,350,35,panel,0.1643059490084986,0.1657142857142857,0.9508196721311475,0.1657142857142857,4,4,4
9,speaker,85,12,table,0.14018691588785046,0.8823529411764706,0.14285714285714285,0.8823529411764706,4,4,4
10,picture,24,66,tv-screen,0.020330368487928845,0.6666666666666666,0.02053915275994865,1.0,3,3,3
11,picture,1562,14,undefined,0.2658072437077962,0.2772087067861716,0.866,0.9443021766965429,12,11,6
12,storage bin,195,5,rug,0.04164830321727633,0.9692307692307692,0.04170344218887908,0.9692307692307692,1,1,1
13,stuffed animal,458,63,floor,0.12151898734177215,0.2096069868995633,0.22429906542056074,0.2903930131004367,4,4,3
14,potted plant,1773,5,rug,0.2108699827155752,0.6192893401015228,0.24227714033539277,0.6192893401015228,2,2,2
15,refrigerator,1990,,,0.0,0.0,0.0,0.0,0,0,0
16,potted plant,78,,,0.0,0.0,0.0,0.0,0,0,0
17,power outlet,22,0,unknown,0.011454753722794959,0.9090909090909091,0.011467889908256881,1.0,2,2,2
18,mat,176,24,wall,0.031029619181946404,0.75,0.031353919239904986,0.8806818181818182,4,2,2
19,potted plant,49,4,chair,0.0036089238845144356,0.673469387755102,0.003615249780893953,0.673469387755102,2,2,1
20,potted plant,963,44,desk-organizer,0.28405422853453843,0.4569055036344756,0.42884990253411304,0.7165109034267912,3,2,2
21,sofa chair,2477,7,sofa,0.22607781282860148,0.26039563988696,0.6317335945151812,0.6955995155429956,10,9,8
22,power outlet,8,,,0.0,0.0,0.0,0.0,0,0,0
23,paper bag,200,,,0.0,0.0,0.0,0.0,0,0,0
24,power outlet,88,,,0.0,0.0,0.0,0.0,0,0,0
25,tissue box,197,,,0.0,0.0,0.0,0.0,0,0,0
26,floor,1472,0,unknown,0.12329724065665386,0.23980978260869565,0.20240825688073394,0.23980978260869565,8,6,3
27,book,60,,,0.0,0.0,0.0,0.0,0,0,0
28,window,1458,9,sofa,0.2037914691943128,0.5013717421124828,0.2555944055944056,0.5384087791495199,5,5,4
29,power outlet,3,7,sofa,0.002938295788442703,1.0,0.002938295788442703,1.0,2,2,2
30,person,103,10,ceiling,0.014559607899668444,0.9805825242718447,0.014563806777217015,0.9805825242718447,3,3,3
31,pillow,95,9,sofa,0.033216783216783216,1.0,0.033216783216783216,1.0,4,4,4
32,person,24,9,sofa,0.008391608391608392,1.0,0.008391608391608392,1.0,4,4,4
33,speaker,53,17,vent,0.23660714285714285,1.0,0.23660714285714285,1.0,3,3,3
34,ceiling,2309,24,wall,0.12435322525008624,0.31225638804677347,0.17125890736342042,0.4196621914248592,11,7,5
35,blinds,507,15,blinds,1.0,1.0,1.0,1.0,11,10,8
