predicted_index,predicted_label,predicted_voxels,best_gt_instance_id,best_gt_label,best_voxel_iou,purity_at_best_iou,coverage_at_best_iou,maximum_purity,overlap_gt_count,overlap_gt_count_purity_0p01,overlap_gt_count_purity_0p05
0,stool,1168,49,lamp,0.21367521367521367,0.21404109589041095,0.9920634920634921,0.7517123287671232,6,6,5
1,pillow,642,12,book,0.18992568125516102,0.3582554517133956,0.2878598247809762,0.8520249221183801,7,6,6
2,stool,1420,68,vent,0.07155445893549524,0.14295774647887324,0.12530864197530864,0.5746478873239437,6,5,3
3,lamp,648,,,0.0,0.0,0.0,0.0,0,0,0
4,end table,864,11,table,0.0007331378299120235,0.003472222222222222,0.0009285051067780873,0.003472222222222222,1,0,0
5,closet door,3700,2,cabinet,0.3363248491981757,0.6178378378378379,0.4246702582203232,0.6178378378378379,4,3,3
6,window,1463,48,wall,0.06140350877192982,0.6220095693779905,0.06378355645896124,0.6220095693779905,3,3,2
7,toaster,158,48,wall,0.008670722327109992,0.7848101265822784,0.008691385715287025,0.7848101265822784,1,1,1
8,power outlet,41,25,floor,0.002971660505907081,1.0,0.002971660505907081,1.0,1,1,1
9,light switch,103,25,floor,0.0071004202289523255,0.9514563106796117,0.007102993404363267,0.9514563106796117,1,1,1
10,coffee kettle,270,47,undefined,0.06313233508700931,0.5777777777777777,0.06618582944420874,0.5777777777777777,2,2,2
11,book,247,40,lamp,0.06798780487804879,0.902834008097166,0.0684889434889435,0.902834008097166,2,2,2
12,cabinet,4763,40,lamp,0.2469289379567719,0.3334033172370355,0.4877149877149877,0.39827839596892717,4,4,4
13,poster,3873,9,sofa,0.22575704017909745,0.4947069455202685,0.2934150076569678,0.4947069455202685,6,6,5
14,closet door,2862,25,floor,0.17681548460016955,0.8745632424877708,0.18141624990940058,0.8745632424877708,4,4,4
15,sofa chair,451,75,basket,0.2601307189542484,0.44124168514412415,0.38791423001949316,0.9689578713968958,12,12,10
16,potted plant,310,40,lamp,0.0525383707201889,0.5741935483870968,0.05466830466830467,0.667741935483871,2,2,2
17,lamp,14582,9,sofa,0.20833333333333334,0.2496228226580716,0.557427258805513,0.2998902756823481,20,17,8
18,power outlet,30,88,ceiling,0.00030721966205837174,0.8,0.00030724325985098704,0.8,1,1,1
19,ceiling,11312,33,wall,0.17686946100230233,0.4957567185289958,0.21566742298965505,0.4957567185289958,9,7,4
20,sofa chair,15,39,stool,0.014861995753715499,0.9333333333333333,0.01487778958554729,0.9333333333333333,2,2,2
21,window,1030,0,unknown,0.0839910357595245,0.8368932038834952,0.08538880633977217,0.8368932038834952,2,2,2
22,pillow,951,88,ceiling,0.006159249691401229,0.508937960042061,0.006196072406994905,0.508937960042061,1,1,1
23,sofa chair,1606,88,ceiling,0.01455915292201181,0.7123287671232876,0.014645262052897049,0.7123287671232876,1,1,1
24,end table,85,75,basket,0.13257575757575757,0.8235294117647058,0.1364522417153996,1.0,10,10,9
25,sofa chair,154,0,unknown,0.004803921568627451,0.3181818181818182,0.004853888063397722,0.7532467532467533,2,2,2
26,ceiling light,1245,61,window,0.08095676172953081,0.2827309236947791,0.10188133140376267,0.8120481927710843,3,3,3
27,paper bag,852,88,ceiling,0.0034436749475824386,0.318075117370892,0.003469288475817395,0.318075117370892,1,1,1
28,pillow,615,43,pot,0.4131403118040089,0.6032520325203252,0.5672782874617737,0.8373983739837398,10,10,9
29,pillow,161,55,plant-stand,0.15456238361266295,0.515527950310559,0.18082788671023964,0.8881987577639752,4,4,4
30,pillow,104,35,indoor-plant,0.03286384976525822,0.20192307692307693,0.03776978417266187,0.9519230769230769,6,6,5
31,pillow,720,72,cushion,0.23919308357348704,0.5763888888888888,0.2902097902097902,0.8777777777777778,7,7,4
32,pillow,57,72,cushion,0.012253233492171545,0.3157894736842105,0.012587412587412588,0.9824561403508771,2,2,2
