predicted_index,predicted_label,predicted_voxels,best_gt_instance_id,best_gt_label,best_voxel_iou,purity_at_best_iou,coverage_at_best_iou,maximum_purity,overlap_gt_count,overlap_gt_count_purity_0p01,overlap_gt_count_purity_0p05
0,trash bin,753,61,chair,0.04158474243020055,0.5617529880478087,0.04297906929485877,0.7901726427622842,4,4,4
1,sofa chair,5689,51,wall,0.19262680694551365,0.39585164352258745,0.27283741216379936,0.7911759535946563,9,9,7
2,trash bin,740,61,chair,0.035724772438093376,0.49324324324324326,0.03708595813858972,0.8918918918918919,4,4,4
3,chair,1163,,,0.0,0.0,0.0,0.0,0,0,0
4,tv,5294,12,table,0.25617229907196637,0.2763505855685682,0.7781914893617021,0.7051378919531545,12,10,7
5,coffee table,1519,51,wall,0.08180208102723047,0.48650427913100724,0.08953234795250788,0.48650427913100724,1,1,1
6,power outlet,22,10,ceiling,0.0007849293563579278,0.9545454545454546,0.0007849586962209846,0.9545454545454546,3,3,3
7,closet door,5026,10,ceiling,0.14928935662363024,0.8213290887385595,0.15430045228572498,0.8213290887385595,8,7,6
8,chair,1233,35,panel,0.12218649517684887,0.12327656123276562,0.9325153374233128,0.12327656123276562,4,4,3
9,speaker,290,12,table,0.11510791366906475,0.7724137931034483,0.11914893617021277,0.7724137931034483,4,4,4
10,picture,93,66,tv-screen,0.023043160204828092,0.6774193548387096,0.02329881656804734,0.9354838709677419,3,3,3
11,picture,4747,14,undefined,0.2700841622035195,0.2974510216979145,0.745905969360803,0.9405940594059405,12,9,6
12,storage bin,678,5,rug,0.04041141340411413,0.8982300884955752,0.04059729351376575,0.8982300884955752,1,1,1
13,stuffed animal,1542,63,floor,0.08126259234385494,0.1569390402075227,0.14421930870083433,0.23216601815823606,4,4,3
14,potted plant,5876,5,rug,0.16637800994468965,0.5068073519400953,0.19852009866008932,0.5068073519400953,2,2,2
15,refrigerator,7428,,,0.0,0.0,0.0,0.0,0,0,0
16,power outlet,55,0,unknown,0.006664691943127962,0.8181818181818182,0.006674577276772471,0.9636363636363636,2,2,2
17,mat,578,24,wall,0.02533252720677146,0.7249134948096886,0.025578414016238324,0.9117647058823529,2,2,2
18,potted plant,151,4,chair,0.0017930950644298566,0.39072847682119205,0.0017981226380592466,0.39072847682119205,1,1,1
19,potted plant,2883,44,desk-organizer,0.26263023392962453,0.46340617412417623,0.37740112994350283,0.6187998612556365,3,2,2
20,sofa chair,8716,7,sofa,0.21933192551353425,0.26216154199173936,0.5731126160020065,0.64066085360257,10,9,8
21,power outlet,22,,,0.0,0.0,0.0,0.0,0,0,0
22,paper bag,781,,,0.0,0.0,0.0,0.0,0,0,0
23,power outlet,291,,,0.0,0.0,0.0,0.0,0,0,0
24,tissue box,638,,,0.0,0.0,0.0,0.0,0,0,0
25,floor,3452,0,unknown,0.08759201963085458,0.23783314020857474,0.12177395431622665,0.23783314020857474,8,6,3
26,book,168,,,0.0,0.0,0.0,0.0,0,0,0
27,window,3446,9,sofa,0.1656193153629899,0.58125362739408,0.18805745939348417,0.6059199071387116,5,4,4
28,power outlet,8,7,sofa,0.0015041363750313362,0.75,0.0015048908954100827,1.0,2,2,2
29,person,372,10,ceiling,0.013450401643937978,0.967741935483871,0.013456434792359735,0.967741935483871,3,3,3
30,pillow,318,9,sofa,0.029373123123123124,0.9842767295597484,0.029386912027039715,0.9937106918238994,4,4,4
31,person,79,9,sofa,0.007228010888951469,0.9746835443037974,0.0072293681344474696,0.9746835443037974,4,4,4
32,speaker,164,17,vent,0.1770956316410862,0.9146341463414634,0.18007202881152462,0.9146341463414634,3,3,2
33,ceiling,8895,24,wall,0.1128428653194206,0.28813940415964023,0.15646175447164398,0.40539629005059025,10,7,5
