predicted_index,predicted_label,gt_index,gt_instance_id,gt_label,intersection_voxels,predicted_voxels,gt_voxels,purity,coverage,voxel_iou,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,trash bin,3,61,chair,151,209,2830,0.722488038277512,0.05335689045936396,0.05228531855955679,0.012408088235294117,1.1453423470444128,True,False
0,trash bin,4,10,ceiling,175,209,6935,0.8373205741626795,0.025234318673395817,0.025111206772851197,0.006881610806677711,1.1901611752214614,False,False
0,trash bin,18,51,wall,1,209,2133,0.004784688995215311,0.00046882325363338024,0.00042716787697565144,0.005720755616471009,1.5915228869751752,False,False
0,trash bin,21,4,chair,164,209,9128,0.784688995215311,0.01796669588080631,0.017878556633598604,0.00218307510384767,1.0102441147935368,True,False
0,trash bin,34,58,table,157,209,7452,0.7511961722488039,0.021068169618894256,0.020922174840085288,0.002506265664160401,1.652149891438748,True,False
1,sofa chair,3,61,chair,360,1572,2830,0.22900763358778625,0.127208480565371,0.08906481939633845,0.12314081514390574,2.0685901277038514,True,True
1,sofa chair,4,10,ceiling,802,1572,6935,0.510178117048346,0.11564527757750541,0.10408825438027255,0.08548191980877702,1.7668191529562205,False,False
1,sofa chair,11,64,tablet,22,1572,70,0.013994910941475827,0.3142857142857143,0.013580246913580247,0.004020100502512563,0.7927232904252585,False,False
1,sofa chair,12,8,wall,715,1572,3795,0.4548346055979644,0.18840579710144928,0.15369733447979364,0.12829403606102635,1.3226395193505807,False,False
1,sofa chair,18,51,wall,643,1572,2133,0.40903307888040713,0.3014533520862635,0.2099934683213586,0.29253731343283584,1.0573483489555613,False,False
1,sofa chair,21,4,chair,1329,1572,9128,0.8454198473282443,0.14559596844872918,0.14182051008430263,0.059124950729207724,1.6193184180632803,True,True
1,sofa chair,34,58,table,1265,1572,7452,0.80470737913486,0.1697530864197531,0.16303647377239336,0.06787802840434419,0.638407443652258,True,False
1,sofa chair,36,9,sofa,258,1572,2860,0.16412213740458015,0.09020979020979021,0.06181121226641112,0.09094535301156761,1.3931236229137127,True,True
1,sofa chair,39,52,other-leaf,25,1572,25,0.015903307888040712,1.0,0.015903307888040712,0.0033333333333333335,0.5307555163367024,False,False
2,trash bin,3,61,chair,133,209,2830,0.6363636363636364,0.0469964664310954,0.04576737783895389,0.01011029411764706,0.8799354706287295,True,False
2,trash bin,4,10,ceiling,196,209,6935,0.937799043062201,0.028262436914203316,0.028209556706966035,0.005607238435070727,1.1825326454992136,False,False
