gt_index,gt_instance_id,gt_label,gt_voxels,best_predicted_index,best_predicted_label,best_voxel_iou,maximum_coverage,overlap_prediction_count,overlap_prediction_count_coverage_0p01,overlap_prediction_count_coverage_0p05
0,15,blinds,141,,,0.0,0.0,0,0,0
1,16,door,236,25,floor,0.0030165912518853697,0.00847457627118644,1,0,0
2,24,wall,1150,33,ceiling,0.13093709884467267,0.17739130434782607,8,5,2
3,61,chair,823,1,sofa chair,0.09388839681133747,0.12879708383961117,8,6,5
4,10,ceiling,1834,7,closet door,0.18796592119275826,0.19247546346782987,10,8,5
5,14,undefined,137,11,picture,0.2909090909090909,0.9343065693430657,2,2,1
6,21,lamp,69,7,closet door,0.15920398009950248,0.927536231884058,2,2,2
7,37,lamp,61,11,picture,0.08131868131868132,0.6065573770491803,1,1,1
8,40,undefined,10,11,picture,0.02320185614849188,1.0,1,1,1
9,44,desk-organizer,285,19,potted plant,0.32671081677704195,0.519298245614035,2,2,2
10,54,undefined,10,11,picture,0.020833333333333332,0.9,1,1,1
11,64,tablet,23,1,sofa chair,0.01873536299765808,0.34782608695652173,2,2,2
12,8,wall,969,1,sofa chair,0.15661641541038526,0.19607843137254902,6,6,4
13,29,undefined,24,,,0.0,0.0,0,0,0
14,30,anonymize_picture,86,4,tv,0.21188630490956073,0.9534883720930233,1,1,1
15,46,undefined,13,8,chair,0.1326530612244898,1.0,1,1,1
16,48,undefined,8,11,picture,0.018561484918793503,1.0,1,1,1
17,50,switch,18,8,chair,0.1836734693877551,1.0,1,1,1
18,51,wall,633,1,sofa chair,0.22796709753231492,0.334913112164297,7,4,4
19,57,clock,17,4,tv,0.041666666666666664,0.9411764705882353,1,1,1
20,66,tv-screen,247,4,tv,0.3070539419087137,0.5991902834008097,4,4,2
21,4,chair,2502,11,picture,0.1597469355476473,0.16147082334132695,16,11,5
22,3,anonymize_picture,117,4,tv,0.05263157894736842,0.21367521367521367,1,1,1
23,5,rug,1306,14,potted plant,0.2479281767955801,0.27488514548238896,9,6,3
24,63,floor,129,13,stuffed animal,0.14163090128755365,0.2558139534883721,1,1,1
25,12,table,146,4,tv,0.29975429975429974,0.8356164383561644,2,2,2
26,42,undefined,170,33,ceiling,0.03302509907529723,0.14705882352941177,2,1,1
27,22,indoor-plant,33,33,ceiling,0.052202283849918436,0.9696969696969697,1,1,1
28,11,camera,10,4,tv,0.02610966057441253,1.0,1,1,1
29,25,wall-plug,9,9,speaker,0.08571428571428572,1.0,2,2,2
30,31,wall-plug,6,9,speaker,0.029411764705882353,1.0,2,2,2
31,45,wall-plug,6,4,tv,0.015665796344647518,1.0,1,1,1
32,0,unknown,517,25,floor,0.14251207729468598,0.22823984526112184,7,5,4
33,17,vent,59,32,speaker,0.2711864406779661,0.5932203389830508,2,2,2
34,58,table,1954,20,sofa chair,0.21606387975575386,0.23541453428863868,10,8,5
35,7,sofa,274,20,sofa chair,0.23673469387755103,0.635036496350365,5,3,2
36,9,sofa,728,27,window,0.22104144527098832,0.2857142857142857,5,5,3
37,34,bin,27,25,floor,0.045871559633027525,0.7407407407407407,1,1,1
38,28,tissue-paper,109,,,0.0,0.0,0,0,0
39,52,other-leaf,8,1,sofa chair,0.019417475728155338,1.0,2,2,2
40,32,undefined,8,7,closet door,0.020151133501259445,1.0,1,1,1
41,35,panel,21,8,chair,0.20202020202020202,0.9523809523809523,1,1,1
42,36,switch,8,8,chair,0.08163265306122448,1.0,1,1,1
43,19,bin,31,25,floor,0.024498886414253896,0.3548387096774194,1,1,1
44,18,wall,17,25,floor,0.0022471910112359553,0.058823529411764705,1,1,1
45,27,wall-plug,1,,,0.0,0.0,0,0,0
46,1,anonymize_text,55,,,0.0,0.0,0,0,0
47,55,undefined,7,11,picture,0.016241299303944315,1.0,1,1,1
48,56,pillar,3,33,ceiling,0.004901960784313725,1.0,1,1,1
49,26,wall,73,33,ceiling,0.119281045751634,1.0,1,1,1
50,20,blinds,58,33,ceiling,0.08943089430894309,0.9482758620689655,1,1,1
51,23,plant-stand,8,33,ceiling,0.011419249592169658,0.875,1,1,1
