predicted_index,predicted_label,gt_index,gt_instance_id,gt_label,intersection_voxels,predicted_voxels,gt_voxels,purity,coverage,voxel_iou,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,trash bin,3,61,chair,54,60,823,0.9,0.06561360874848117,0.06513872135102533,0.015304560759106214,1.1617334313250083,True,False
0,trash bin,4,10,ceiling,57,60,1834,0.95,0.031079607415485277,0.031028851388132824,0.008771929824561403,1.2058641970618504,False,False
0,trash bin,18,51,wall,2,60,633,0.03333333333333333,0.00315955766192733,0.002894356005788712,0.013049151805132666,1.608482813545537,False,False
0,trash bin,21,4,chair,55,60,2502,0.9166666666666666,0.021982414068745005,0.021938571998404467,0.002840909090909091,1.0683792712545832,True,False
0,trash bin,34,58,table,49,60,1954,0.8166666666666667,0.025076765609007165,0.024936386768447838,0.003391670058336725,1.6495050222404695,True,False
1,sofa chair,3,61,chair,106,412,823,0.25728155339805825,0.12879708383961117,0.09388839681133747,0.12455669924746994,2.038505199723821,True,True
1,sofa chair,4,10,ceiling,209,412,1834,0.5072815533980582,0.11395856052344602,0.10260186548846342,0.08742232697664452,1.7878515517620706,False,False
1,sofa chair,11,64,tablet,8,412,23,0.019417475728155338,0.34782608695652173,0.01873536299765808,0.0036809815950920245,0.8369921653828349,False,False
1,sofa chair,12,8,wall,187,412,969,0.4538834951456311,0.19298245614035087,0.15661641541038526,0.1274904511200578,1.3653174895451081,False,False
1,sofa chair,18,51,wall,194,412,633,0.470873786407767,0.30647709320695105,0.22796709753231492,0.29676985195154776,1.03457444410254,False,False
1,sofa chair,21,4,chair,354,412,2502,0.8592233009708737,0.14148681055155876,0.13828125,0.06060606060606061,1.6464026582811782,True,True
1,sofa chair,34,58,table,332,412,1954,0.8058252427184466,0.1699078812691914,0.16322517207472959,0.07235562791118347,0.6585149133168722,True,False
1,sofa chair,35,7,sofa,1,412,274,0.0024271844660194173,0.0036496350364963502,0.00145985401459854,0.11047928513403736,1.5817036888539737,True,True
1,sofa chair,36,9,sofa,78,412,728,0.18932038834951456,0.10714285714285714,0.07344632768361582,0.09782608695652174,1.4127948688025533,True,True
1,sofa chair,39,52,other-leaf,8,412,8,0.019417475728155338,1.0,0.019417475728155338,0.004375,0.5445630278228241,False,False
2,trash bin,3,61,chair,48,69,823,0.6956521739130435,0.0583232077764277,0.05687203791469194,0.012243648607284972,0.9042274307866207,True,False
2,trash bin,4,10,ceiling,69,69,1834,1.0,0.0376226826608506,0.0376226826608506,0.007017543859649123,1.1957930196913267,False,False
2,trash bin,21,4,chair,60,69,2502,0.8695652173913043,0.023980815347721823,0.023894862604540025,0.0022727272727272726,0.9735482063616203,True,False
