predicted_index,predicted_label,gt_index,gt_instance_id,gt_label,intersection_voxels,predicted_voxels,gt_voxels,purity,coverage,voxel_iou,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,stool,7,25,floor,31,90,1036,0.34444444444444444,0.029922779922779922,0.028310502283105023,0.010086455331412104,1.83017394760002,False,False
0,stool,13,42,window,10,90,109,0.1111111111111111,0.09174311926605505,0.05291005291005291,0.10546139359698682,0.49628970831532027,True,False
0,stool,18,50,blinds,24,90,121,0.26666666666666666,0.19834710743801653,0.12834224598930483,0.14340588988476313,0.41548010118432654,True,False
0,stool,19,57,wall,77,90,596,0.8555555555555555,0.12919463087248323,0.12643678160919541,0.041666666666666664,0.658025217301643,False,False
0,stool,29,88,ceiling,2,90,6075,0.022222222222222223,0.0003292181069958848,0.00032451728054518905,0.0020598837637019053,2.2169888011311967,False,False
0,stool,40,31,wall-plug,15,90,15,0.16666666666666666,1.0,0.16666666666666666,0.1469387755102041,0.21470910553583897,False,False
0,stool,42,49,lamp,21,90,21,0.23333333333333334,1.0,0.23333333333333334,0.12244897959183673,0.1415557121853631,True,False
0,stool,90,58,blinds,2,90,143,0.022222222222222223,0.013986013986013986,0.008658008658008658,0.045454545454545456,0.743910554149919,True,False
1,pillow,19,57,wall,2,56,596,0.03571428571428571,0.003355704697986577,0.003076923076923077,0.008361204013377926,1.0577266166043422,False,False
1,pillow,30,11,table,49,56,262,0.875,0.18702290076335878,0.1821561338289963,0.1388888888888889,0.5716003072004141,True,False
1,pillow,43,54,undefined,20,56,44,0.35714285714285715,0.45454545454545453,0.25,0.20618556701030927,0.23961676864770942,False,False
1,pillow,45,77,sofa,39,56,375,0.6964285714285714,0.104,0.09948979591836735,0.05555555555555555,0.618299220945098,True,False
1,pillow,46,86,blanket,3,56,147,0.05357142857142857,0.02040816326530612,0.015,0.05917159763313609,0.6419865293911261,False,False
1,pillow,47,12,book,28,56,72,0.5,0.3888888888888889,0.28,0.2376237623762376,0.30460821242432334,True,False
1,pillow,48,59,book,26,56,69,0.4642857142857143,0.37681159420289856,0.26262626262626265,0.32653061224489793,0.32503143851895616,True,False
1,pillow,49,43,pot,24,56,66,0.42857142857142855,0.36363636363636365,0.24489795918367346,0.25,0.3347963095654341,True,False
1,pillow,50,24,undefined,3,56,25,0.05357142857142857,0.12,0.038461538461538464,0.05,0.3719843369535546,False,False
1,pillow,58,10,table,2,56,136,0.03571428571428571,0.014705882352941176,0.010526315789473684,0.007590132827324478,1.234670858497161,True,False
1,pillow,88,22,blinds,2,56,302,0.03571428571428571,0.006622516556291391,0.0056179775280898875,0.009216589861751152,1.305077307676659,True,False
2,stool,13,42,window,5,103,109,0.04854368932038835,0.045871559633027525,0.024154589371980676,0.10676156583629894,0.6962650717724137,True,False
2,stool,18,50,blinds,5,103,121,0.04854368932038835,0.04132231404958678,0.0228310502283105,0.12077294685990338,0.7715865024121515,True,False
2,stool,19,57,wall,31,103,596,0.30097087378640774,0.05201342281879195,0.04640718562874251,0.04054054054054054,1.2330277450146734,False,False
2,stool,24,68,vent,21,103,145,0.20388349514563106,0.14482758620689656,0.09251101321585903,0.1287711552612215,0.9178621712379775,False,False
2,stool,29,88,ceiling,77,103,6075,0.7475728155339806,0.012674897119341564,0.012620881822652025,0.00412614205717654,1.5688166915025246,False,False
2,stool,41,52,undefined,4,103,8,0.038834951456310676,0.5,0.037383177570093455,0.04225352112676056,0.3618313591155943,False,False
4,end table,30,11,table,1,78,262,0.01282051282051282,0.003816793893129771,0.0029498525073746312,0.034482758620689655,1.0746527848483498,True,True
5,cabinet,0,2,cabinet,182,273,429,0.6666666666666666,0.42424242424242425,0.35,0.08008008008008008,0.5451445556301887,True,True
5,cabinet,3,6,lamp,5,273,308,0.018315018315018316,0.016233766233766232,0.008680555555555556,0.005545286506469501,2.4448329936888933,True,False
5,cabinet,7,25,floor,150,273,1036,0.5494505494505495,0.14478764478764478,0.12942191544434858,0.02026715799170889,1.2696437955037236,False,False
5,cabinet,17,48,wall,66,273,1000,0.24175824175824176,0.066,0.05468102734051367,0.03308270676691729,1.2557134390843943,False,False
