case_id,scene_id,family,subtype,predicted_label,gt_label,scale,verdict,verdict_reason,baseline_predicted_objects,current_predicted_objects,baseline_object_precision_iou0p25,baseline_object_recall_iou0p25,baseline_object_f1_iou0p25,baseline_mean_maximum_purity,baseline_mean_maximum_coverage,baseline_semantic_accuracy_hungarian_positive,current_object_precision_iou0p25,current_object_recall_iou0p25,current_object_f1_iou0p25,current_mean_maximum_purity,current_mean_maximum_coverage,current_semantic_accuracy_hungarian_positive,delta_object_precision_iou0p25,delta_object_recall_iou0p25,delta_object_f1_iou0p25,delta_mean_maximum_purity,delta_mean_maximum_coverage,delta_semantic_accuracy_hungarian_positive
A01_room0,room0,association,A_false_merge_observation_identity,book,,voxel0p025,degraded,F1 or mean purity degraded,72,73,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.125,0.1095890410958904,0.08791208791208792,0.0975609756097561,0.6607150959572285,0.3909500590459881,0.125,-0.0015220700152207,0.0,-0.0005985335926978891,0.004587254802309926,0.0,0.0
A01_room0,room0,association,A_false_merge_observation_identity,book,,voxel0p05,degraded,F1 or mean purity degraded,72,73,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.125,0.1232876712328767,0.0989010989010989,0.10975609756097561,0.723027922513686,0.4299832397143611,0.125,-0.0017123287671232945,0.0,-0.000673350291785127,0.004928725671689116,0.0,0.0
A01_room0,room0,association,A_false_merge_observation_identity,book,,voxel0p10,degraded,F1 or mean purity degraded,72,73,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.125,0.1780821917808219,0.14285714285714285,0.15853658536585366,0.7581771231966955,0.452079604790914,0.125,-0.0024733637747336445,0.0,-0.0009726170881340646,0.004453832269420643,0.0,0.0
A02_room0,room0,association,A_false_split_observation_identity,ceiling,unknown,voxel0p025,improved,F1 improved without mean-purity loss,72,64,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.125,0.125,0.08791208791208792,0.1032258064516129,0.7018847401745054,0.3915644048865417,0.125,0.013888888888888895,0.0,0.005066297249158913,0.045756899019586794,0.0006143458405535873,0.0
A02_room0,room0,association,A_false_split_observation_identity,ceiling,unknown,voxel0p05,improved,F1 improved without mean-purity loss,72,64,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.125,0.15625,0.10989010989010989,0.12903225806451613,0.7650394987411917,0.43070516641521317,0.125,0.03125,0.010989010989010992,0.01860281021175539,0.04694030189919485,0.0007219267008520824,0.0
A02_room0,room0,association,A_false_split_observation_identity,ceiling,unknown,voxel0p10,improved,F1 improved without mean-purity loss,72,64,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.125,0.21875,0.15384615384615385,0.18064516129032257,0.8024545570024693,0.4528917967142171,0.125,0.03819444444444445,0.010989010989011005,0.021135958836334845,0.0487312660751944,0.0008121919233030628,0.0
A03_office0,office0,association,A_false_split_observation_identity,picture,chair,voxel0p025,degraded,F1 or mean purity degraded,35,28,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.5156931803477698,0.14285714285714285,0.10714285714285714,0.057692307692307696,0.075,0.53735342935597,0.5178998575201206,0.2,0.049999999999999996,0.019230769230769232,0.029022988505747124,-0.01908196671459672,0.0022066771723507905,0.05714285714285716
A03_office0,office0,association,A_false_split_observation_identity,picture,chair,voxel0p05,degraded,F1 or mean purity degraded,35,28,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.5699704440443539,0.2857142857142857,0.10714285714285714,0.057692307692307696,0.075,0.5668693544152683,0.5724048265218216,0.16666666666666666,0.021428571428571422,0.0,0.006034482758620688,-0.024887663470891885,0.0024343824774676337,-0.11904761904761904
A03_office0,office0,association,A_false_split_observation_identity,picture,chair,voxel0p10,degraded,F1 or mean purity degraded,35,28,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.5871810052084496,0.2857142857142857,0.14285714285714285,0.07692307692307693,0.1,0.5926413681250601,0.5901076572506816,0.3333333333333333,0.028571428571428567,0.0,0.00804597701149426,-0.030940151717912312,0.0029266520422319697,0.047619047619047616
S01_office0,office0,semantic,S3_ontology_or_unknown_mismatch,speaker,vent,voxel0p025,no_effect,semantic accuracy unchanged,35,35,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.5156931803477698,0.14285714285714285,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.5156931803477698,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
