predicted_index,predicted_label,gt_index,gt_instance_id,gt_label,intersection_voxels,predicted_voxels,gt_voxels,purity,coverage,voxel_iou,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,tv,2,24,wall,1655,5294,16381,0.3126180581790706,0.101031683047433,0.08266733266733267,0.06665281866035738,0.6942515549404035,False,False
0,tv,14,30,anonymize_picture,1083,5294,1165,0.20457121269361542,0.9296137339055794,0.20145089285714285,0.09414018629847394,0.5687971098150346,False,False
0,tv,19,57,clock,150,5294,156,0.028333962976955042,0.9615384615384616,0.02830188679245283,0.009685751183814033,1.132752429221833,True,False
0,tv,20,66,tv-screen,1457,5294,2704,0.27521722704949,0.5388313609467456,0.22274881516587677,0.3030012694914848,0.6942641246462293,True,True
0,tv,21,4,chair,3733,5294,32812,0.7051378919531545,0.1137693526758503,0.10860268233788148,0.019602879252002058,2.0238553574559894,True,False
0,tv,22,3,anonymize_picture,325,5294,1619,0.061390253116735925,0.20074119827053738,0.04933211900425015,0.03744902771228051,1.0410044528978935,False,False
0,tv,23,5,rug,493,5294,15001,0.09312429165092558,0.03286447570161989,0.024896475103524895,0.03253416543670509,1.4899755819335947,False,False
0,tv,25,12,table,1463,5294,1880,0.2763505855685682,0.7781914893617021,0.25617229907196637,0.2858084424338656,0.28181704146080677,True,False
0,tv,28,11,camera,80,5294,83,0.01511144692104269,0.963855421686747,0.015102888427411743,0.0037087320772211,0.9693373994183487,False,False
0,tv,29,25,wall-plug,58,5294,61,0.01095579901775595,0.9508196721311475,0.010949594109873513,0.0023841849067849927,0.495125077622093,False,False
0,tv,30,31,wall-plug,41,5294,42,0.007744616547034379,0.9761904761904762,0.007743153918791312,0.0015894566045233287,0.36839061382696975,False,False
0,tv,31,45,wall-plug,32,5294,32,0.006044578768417076,1.0,0.006044578768417076,0.0005794893870657969,0.30068505669282525,False,False
1,coffee table,18,51,wall,739,1519,8254,0.48650427913100724,0.08953234795250788,0.08180208102723047,0.08007065057403591,0.4916414030840744,False,False
2,power outlet,4,10,ceiling,21,22,26753,0.9545454545454546,0.0007849586962209846,0.0007849293563579278,3.7735137072885415e-05,1.0478094495282397,False,False
2,power outlet,21,4,chair,16,22,32812,0.7272727272727273,0.0004876264781177618,0.0004875373270766043,1.1684222210538e-05,0.9423810861104904,True,False
2,power outlet,34,58,table,17,22,26897,0.7727272727272727,0.0006320407480388148,0.0006319232770797711,1.3477088948787062e-05,2.1207063493257006,True,False
3,closet door,3,61,chair,427,5026,9842,0.08495821727019498,0.04338549075391181,0.02956858943286476,0.020924431401320616,1.6317747912302794,True,False
