gt_index,gt_instance_id,gt_label,gt_voxels,best_predicted_index,best_predicted_label,best_voxel_iou,maximum_coverage,overlap_prediction_count,overlap_prediction_count_coverage_0p01,overlap_prediction_count_coverage_0p05
0,15,blinds,141,26,blinds,1.0,1.0,1,1,1
1,16,door,236,26,blinds,0.5578512396694215,0.5720338983050848,2,1,1
2,24,wall,1150,24,ceiling,0.13093709884467267,0.17739130434782607,8,6,2
3,61,chair,823,25,sofa chair,0.08628127696289906,0.24301336573511542,7,5,4
4,10,ceiling,1834,3,closet door,0.18796592119275826,0.19247546346782987,10,8,5
5,14,undefined,137,5,picture,0.2909090909090909,0.9343065693430657,2,2,1
6,21,lamp,69,3,closet door,0.15920398009950248,0.927536231884058,2,2,2
7,37,lamp,61,5,picture,0.08131868131868132,0.6065573770491803,1,1,1
8,40,undefined,10,5,picture,0.02320185614849188,1.0,1,1,1
9,44,desk-organizer,285,11,potted plant,0.32671081677704195,0.519298245614035,2,2,2
10,54,undefined,10,5,picture,0.020833333333333332,0.9,1,1,1
11,64,tablet,23,5,picture,0.011135857461024499,0.34782608695652173,2,2,2
12,8,wall,969,12,sofa chair,0.13437057991513437,0.19607843137254902,7,7,5
13,29,undefined,24,,,0.0,0.0,0,0,0
14,30,anonymize_picture,86,0,tv,0.21188630490956073,0.9534883720930233,1,1,1
15,46,undefined,13,4,chair,0.1326530612244898,1.0,1,1,1
16,48,undefined,8,5,picture,0.018561484918793503,1.0,1,1,1
17,50,switch,18,4,chair,0.1836734693877551,1.0,1,1,1
18,51,wall,633,12,sofa chair,0.20075757575757575,0.334913112164297,7,5,4
19,57,clock,17,0,tv,0.041666666666666664,0.9411764705882353,1,1,1
20,66,tv-screen,247,0,tv,0.3070539419087137,0.5991902834008097,3,3,2
21,4,chair,2502,5,picture,0.1597469355476473,0.19944044764188648,14,10,5
22,3,anonymize_picture,117,0,tv,0.05263157894736842,0.21367521367521367,1,1,1
23,5,rug,1306,11,potted plant,0.17963636363636365,0.27488514548238896,10,7,3
24,63,floor,129,7,stuffed animal,0.14163090128755365,0.2558139534883721,2,2,2
25,12,table,146,0,tv,0.29975429975429974,0.8356164383561644,2,2,2
26,42,undefined,170,24,ceiling,0.03302509907529723,0.14705882352941177,2,1,1
27,22,indoor-plant,33,24,ceiling,0.052202283849918436,0.9696969696969697,1,1,1
28,11,camera,10,0,tv,0.02610966057441253,1.0,1,1,1
29,25,wall-plug,9,0,tv,0.02349869451697128,1.0,2,2,2
30,31,wall-plug,6,0,tv,0.015665796344647518,1.0,2,2,2
31,45,wall-plug,6,0,tv,0.015665796344647518,1.0,1,1,1
32,0,unknown,517,16,floor,0.14251207729468598,0.22823984526112184,7,5,4
33,17,vent,59,23,vent,0.2711864406779661,0.5932203389830508,2,2,2
34,58,table,1954,12,sofa chair,0.21606387975575386,0.23541453428863868,9,7,5
35,7,sofa,274,12,sofa chair,0.23673469387755103,0.635036496350365,5,3,2
36,9,sofa,728,18,window,0.22104144527098832,0.2857142857142857,6,6,3
37,34,bin,27,16,floor,0.045871559633027525,0.7407407407407407,1,1,1
38,28,tissue-paper,109,27,tissue-paper,1.0,1.0,1,1,1
39,52,other-leaf,8,12,sofa chair,0.012598425196850394,1.0,2,2,2
40,32,undefined,8,3,closet door,0.020151133501259445,1.0,1,1,1
41,35,panel,21,4,chair,0.20202020202020202,0.9523809523809523,1,1,1
42,36,switch,8,4,chair,0.08163265306122448,1.0,1,1,1
43,19,bin,31,16,floor,0.024498886414253896,0.3548387096774194,2,2,2
44,18,wall,17,26,blinds,0.039473684210526314,0.35294117647058826,2,2,2
45,27,wall-plug,1,,,0.0,0.0,0,0,0
46,1,anonymize_text,55,27,tissue-paper,0.5045871559633027,1.0,1,1,1
47,55,undefined,7,5,picture,0.016241299303944315,1.0,1,1,1
48,56,pillar,3,24,ceiling,0.004901960784313725,1.0,1,1,1
49,26,wall,73,24,ceiling,0.119281045751634,1.0,1,1,1
50,20,blinds,58,24,ceiling,0.08943089430894309,0.9482758620689655,1,1,1
51,23,plant-stand,8,24,ceiling,0.011419249592169658,0.875,1,1,1
