predicted_index,gt_instance_id,voxel_iou,purity,coverage,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,66,0.3070539419087137,0.38642297650130547,0.5991902834008097,0.3611111111111111,0.6888818626067458,True,True
1,51,0.08131241084165478,0.456,0.09004739336492891,0.09036144578313253,0.5225301454043633,False,False
2,61,0.0012135922330097086,0.5,0.001215066828675577,0.00020406081012141618,1.0317389894861546,True,False
3,10,0.18796592119275826,0.889168765743073,0.19247546346782987,0.05894736842105263,1.016396976697983,False,False
4,35,0.20202020202020202,0.20408163265306123,0.9523809523809523,0.10714285714285714,0.28960362979539916,False,False
5,14,0.2909090909090909,0.29698375870069604,0.9343065693430657,0.18181818181818182,0.5920197707735836,False,False
6,5,0.045941807044410414,1.0,0.045941807044410414,0.008116883116883116,0.7594215920861436,False,False
7,63,0.14163090128755365,0.24087591240875914,0.2558139534883721,0.3253012048192771,0.3271201667992815,False,False
9,24,0.030146425495262703,0.7608695652173914,0.030434782608695653,0.0036458333333333334,0.9570161923596505,False,False
11,44,0.32671081677704195,0.46835443037974683,0.519298245614035,0.25906735751295334,0.5085770873584647,False,False
12,7,0.23673469387755103,0.2740157480314961,0.635036496350365,0.2878684030157642,0.32036807302173065,True,True
16,0,0.14251207729468598,0.27505827505827507,0.22823984526112184,0.06334961066385113,0.8037203938294063,False,False
18,9,0.22104144527098832,0.49406175771971494,0.2857142857142857,0.17397769516728626,1.4388029067529242,True,False
20,4,0.013589128697042365,1.0,0.013589128697042365,0.0013257575757575758,1.628135487489756,True,False
21,8,0.02889576883384933,1.0,0.02889576883384933,0.011396011396011397,0.8268529604949704,False,False
23,17,0.2711864406779661,1.0,0.2711864406779661,0.14285714285714285,0.15041425429699012,False,False
24,26,0.119281045751634,0.119281045751634,1.0,0.1625615763546798,0.15255870297803265,False,False
25,58,0.1328779882024216,0.25250737463126843,0.21903787103377687,0.6556316183549042,2.3269552461220684,True,False
26,15,1.0,1.0,1.0,1.0,0.0,True,True
27,28,1.0,1.0,1.0,1.0,0.0,False,False
