gt_index,gt_instance_id,gt_label,gt_voxels,best_predicted_index,best_predicted_label,best_voxel_iou,maximum_coverage,overlap_prediction_count,overlap_prediction_count_coverage_0p01,overlap_prediction_count_coverage_0p05
0,2,cabinet,1476,4,cabinet,0.34573304157549234,0.4281842818428184,2,2,2
1,3,book,38,,,0.0,0.0,0,0,0
2,4,book,42,,,0.0,0.0,0,0,0
3,6,lamp,1111,16,lamp,0.14947415529201163,0.6012601260126013,5,4,4
4,7,table,189,16,lamp,0.04694485842026826,1.0,1,1,1
5,9,sofa,1731,12,poster,0.2468525179856115,0.6285384170999422,3,3,2
6,20,undefined,100,16,lamp,0.024838549428713365,1.0,1,1,1
7,25,floor,3694,13,closet door,0.19130661114003122,0.3191662154845696,10,6,3
8,27,table,154,16,lamp,0.03825136612021858,1.0,1,1,1
9,30,blinds,31,,,0.0,0.0,0,0,0
10,39,stool,277,58,end table,0.038288288288288286,0.3285198555956679,4,4,2
11,40,lamp,929,11,cabinet,0.266553480475382,0.5069967707212056,4,4,3
12,41,stool,199,16,lamp,0.049428713363139594,1.0,1,1,1
13,42,window,358,14,sofa chair,0.022774327122153208,0.04189944134078212,3,3,0
14,45,vase,195,,,0.0,0.0,0,0,0
15,46,pillar,293,14,sofa chair,0.06716417910447761,0.09215017064846416,1,1,1
16,47,undefined,664,11,cabinet,0.17231134878193702,0.4367469879518072,2,2,2
17,48,wall,3752,11,cabinet,0.10453950240069838,0.12766524520255865,7,6,3
18,50,blinds,420,0,stool,0.11208151382823872,0.18333333333333332,3,3,1
19,57,wall,2102,0,stool,0.12563276576161989,0.12987630827783064,8,6,4
20,60,rug,1926,16,lamp,0.2,0.5150571131879543,7,4,3
21,62,window,25,,,0.0,0.0,0,0,0
22,65,plate,101,,,0.0,0.0,0,0,0
23,67,undefined,77,,,0.0,0.0,0,0,0
24,68,vent,460,2,stool,0.07741116751269035,0.13260869565217392,1,1,1
25,71,cushion,218,12,poster,0.10623353819139596,0.555045871559633,2,2,2
26,79,candle,63,,,0.0,0.0,0,0,0
27,81,undefined,5132,38,blinds,0.1689432063263839,0.32092751363990646,7,3,3
28,85,book,44,,,0.0,0.0,0,0,0
29,88,ceiling,23061,63,pillow,0.26382743362831856,0.28957981006894756,34,11,1
30,11,table,948,32,pillow,0.3115264797507788,0.7383966244725738,7,6,5
31,23,wall,4,,,0.0,0.0,0,0,0
32,1,undefined,223,18,ceiling,0.00791631325982471,0.12556053811659193,1,1,1
33,18,cushion,148,12,poster,0.13658070678127984,0.9662162162162162,2,2,2
34,33,wall,6679,43,ceiling,0.2893419833178869,0.46743524479712534,5,5,3
35,36,door,973,16,lamp,0.01543774121470648,0.07810894141829394,3,2,1
36,61,window,859,25,ceiling light,0.09107635694572216,0.259604190919674,3,3,3
37,14,undefined,94,18,ceiling,0.028126870137642132,1.0,1,1,1
38,16,switch,68,18,ceiling,0.020347097546379412,1.0,2,2,2
39,0,unknown,3593,18,ceiling,0.12180524102232287,0.24325076537712217,4,3,3
40,31,wall-plug,30,0,stool,0.0872093023255814,1.0,1,1,1
41,52,undefined,21,2,stool,0.012345679012345678,0.23809523809523808,1,1,1
42,49,lamp,76,0,stool,0.22093023255813954,1.0,1,1,1
43,54,undefined,144,1,pillow,0.21299638989169675,0.5972222222222222,3,3,3
44,75,basket,156,14,sofa chair,0.2532188841201717,0.3782051282051282,3,3,3
45,77,sofa,1289,32,pillow,0.2744186046511628,0.5492629945694336,9,7,3
46,86,blanket,477,58,end table,0.2448210922787194,0.4109014675052411,5,4,4
47,12,book,252,27,pillow,0.3202416918429003,0.5436507936507936,3,3,3
48,59,book,251,27,pillow,0.3929712460063898,0.5219123505976095,3,3,3
49,43,pot,213,27,pillow,0.46863468634686345,0.596244131455399,3,3,3
50,24,undefined,76,27,pillow,0.29207920792079206,0.7763157894736842,3,3,2
51,55,plant-stand,148,28,pillow,0.17543859649122806,0.8851351351351351,3,3,3
52,35,indoor-plant,179,28,pillow,0.1262135922330097,0.9385474860335196,5,4,3
53,70,cushion,358,12,poster,0.10149488591660111,0.664804469273743,2,2,2
54,8,cushion,470,16,lamp,0.10466830466830467,0.9063829787234042,2,2,2
55,63,picture,2245,43,ceiling,0.28046473925965953,0.9247216035634744,2,2,1
56,73,chair,1685,32,pillow,0.2971830985915493,0.5008902077151335,7,7,3
57,74,chair,1180,45,radiator,0.1930080116533139,0.32033898305084746,3,3,3
58,10,table,406,64,cushion,0.1469387755102041,0.5788177339901478,4,3,3
59,72,cushion,423,30,pillow,0.2829076620825147,0.806146572104019,4,4,2
60,89,wall,2854,38,blinds,0.11509146341463415,0.21163279607568325,10,6,4
61,93,table,141,64,cushion,0.3561643835616438,0.5531914893617021,1,1,1
62,5,cushion,182,64,cushion,0.6407766990291263,0.7252747252747253,1,1,1
63,69,cushion,312,45,radiator,0.07391910739191074,0.16987179487179488,3,3,3
64,92,book,113,64,cushion,0.2062780269058296,0.40707964601769914,2,2,2
65,13,cushion,156,64,cushion,1.0,1.0,1,1,1
66,32,cushion,208,14,sofa chair,0.12786885245901639,0.28365384615384615,4,4,4
67,84,pillar,900,64,cushion,0.1022964509394572,0.14777777777777779,5,4,3
68,90,book,124,64,cushion,0.3145539906103286,0.5403225806451613,1,1,1
69,19,blinds,943,37,blinds,0.8380355276907001,0.8504772004241782,4,4,2
70,21,blinds,943,44,coffee table,0.13755020080321284,0.14952279957582185,3,3,3
71,26,window,523,44,coffee table,0.06736526946107785,0.16443594646271512,5,4,3
72,38,window,985,44,coffee table,0.13416988416988418,0.1746192893401015,3,3,2
73,87,lamp,214,64,cushion,0.3754646840148699,0.4719626168224299,1,1,1
74,15,blinds,1075,38,blinds,0.35857238158772514,1.0,1,1,1
75,17,window,210,38,blinds,0.07004669779853236,1.0,1,1,1
76,80,wall-plug,57,32,pillow,0.028514257128564282,1.0,1,1,1
77,64,vent,33,46,chair,0.013888888888888888,0.8787878787878788,2,2,1
78,83,lamp,1954,54,end table,0.21585677749360613,0.21596724667349027,12,9,3
79,78,lamp,506,33,coffee table,0.4471264367816092,0.7687747035573123,6,6,5
80,44,wall-plug,58,32,pillow,0.029014507253626812,1.0,1,1,1
81,51,undefined,52,33,coffee table,0.06622516556291391,0.9615384615384616,3,3,1
82,56,wall-plug,43,32,pillow,0.021510755377688845,1.0,1,1,1
83,91,window,106,64,cushion,0.14410480349344978,0.3113207547169811,1,1,1
84,34,blinds,275,64,cushion,0.2140845070422535,0.27636363636363637,2,2,1
85,37,undefined,12,,,0.0,0.0,0,0,0
86,53,undefined,33,33,coffee table,0.043824701195219126,1.0,1,1,1
87,28,window,683,64,cushion,0.038366336633663366,0.09077598828696926,3,3,1
88,22,blinds,1066,33,coffee table,0.26583159359777314,0.35834896810506567,8,7,4
89,29,window,510,23,end table,0.012987012987012988,0.01568627450980392,5,2,0
90,58,blinds,521,14,sofa chair,0.007668711656441718,0.009596928982725527,5,0,0
