predicted_index,predicted_label,gt_index,gt_instance_id,gt_label,intersection_voxels,predicted_voxels,gt_voxels,purity,coverage,voxel_iou,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,stool,7,25,floor,280,1168,13797,0.23972602739726026,0.020294266869609334,0.01906707524685053,0.008492453062966311,1.8405643166542884,False,False
0,stool,13,42,window,29,1168,1318,0.02482876712328767,0.022003034901365705,0.011803011803011803,0.09069175599598982,0.5513584596168805,True,False
0,stool,18,50,blinds,218,1168,1605,0.18664383561643835,0.13582554517133957,0.0853228962818004,0.14283111677901256,0.4691911840335934,True,False
0,stool,19,57,wall,878,1168,7738,0.7517123287671232,0.1134660118893771,0.10936721474838067,0.043425162860058084,0.6711191865036109,False,False
0,stool,40,31,wall-plug,63,1168,65,0.05393835616438356,0.9692307692307692,0.05384615384615385,0.09109311740890688,0.20402138913607373,False,False
0,stool,42,49,lamp,250,1168,252,0.21404109589041095,0.9920634920634921,0.21367521367521367,0.06940427993059572,0.12770560028466638,True,False
1,pillow,30,11,table,547,642,3231,0.8520249221183801,0.16929743113587126,0.16446181599518941,0.11497584541062802,0.5148197238836957,True,False
1,pillow,43,54,undefined,166,642,441,0.2585669781931464,0.3764172335600907,0.18102508178844057,0.19056261343012704,0.24287805751021826,False,False
1,pillow,45,77,sofa,299,642,4676,0.4657320872274143,0.06394354148845167,0.05957362024307631,0.038560411311053984,0.6099281917598639,True,False
1,pillow,46,86,blanket,2,642,1591,0.003115264797507788,0.001257071024512885,0.0008964589870013447,0.022239757459974665,0.6487980319705144,False,False
1,pillow,47,12,book,230,642,799,0.3582554517133956,0.2878598247809762,0.18992568125516102,0.2026266416510319,0.32049441850088556,True,False
1,pillow,48,59,book,216,642,799,0.3364485981308411,0.27033792240300375,0.1763265306122449,0.2315112540192926,0.3304996882612192,True,False
1,pillow,49,43,pot,188,642,654,0.29283489096573206,0.2874617737003058,0.16967509025270758,0.27906976744186046,0.3166294064231656,True,False
2,stool,13,42,window,21,1420,1318,0.014788732394366197,0.015933232169954476,0.007729112992270887,0.07461692205196535,0.693633069513403,True,False
2,stool,18,50,blinds,21,1420,1605,0.014788732394366197,0.013084112149532711,0.006990679094540613,0.11176111062603684,0.7583108204430056,True,False
2,stool,19,57,wall,266,1420,7738,0.18732394366197183,0.03437580770224864,0.029914529914529916,0.035243112209221016,1.2264003059911288,False,False
2,stool,24,68,vent,203,1420,1620,0.14295774647887324,0.12530864197530864,0.07155445893549524,0.11332007952286283,0.8990864923311975,False,False
2,stool,29,88,ceiling,816,1420,78114,0.5746478873239437,0.010446270834933559,0.010366117025330928,0.00357761209851242,1.5621028277369415,False,False
2,stool,41,52,undefined,7,1420,55,0.004929577464788733,0.12727272727272726,0.004768392370572207,0.02134869535750593,0.42500394220880866,False,False
4,end table,30,11,table,3,864,3231,0.003472222222222222,0.0009285051067780873,0.0007331378299120235,0.01661631419939577,1.0376586068764333,True,True
5,closet door,0,2,cabinet,2286,3700,5383,0.6178378378378379,0.4246702582203232,0.3363248491981757,0.022812922528120595,0.5846575158842283,True,False
5,closet door,3,6,lamp,25,3700,4266,0.006756756756756757,0.005860290670417253,0.0031482181085505604,0.0013333703713992056,2.4154456127308412,True,False
5,closet door,7,25,floor,1791,3700,13797,0.48405405405405405,0.12981082844096542,0.11403285368648924,0.005360253718676018,1.2583539969310296,False,False
5,closet door,17,48,wall,815,3700,14267,0.22027027027027027,0.05712483353192682,0.04751632462686567,0.0093373780794711,1.2161634006114288,False,False
6,window,11,40,lamp,52,1463,3256,0.0355434039644566,0.01597051597051597,0.011142061281337047,0.0021463833440652502,1.2491157023891484,True,False
6,window,17,48,wall,910,1463,14267,0.6220095693779905,0.06378355645896124,0.06140350877192982,0.00391766124040268,1.1394840537859328,False,False
6,window,29,88,ceiling,588,1463,78114,0.4019138755980861,0.007527459866349182,0.0074440744913848765,0.0010894785814399963,3.8414100590312703,False,False
7,toaster,17,48,wall,124,158,14267,0.7848101265822784,0.008691385715287025,0.008670722327109992,0.0008978248153337596,0.8314029287622731,False,False
