predicted_index,predicted_label,predicted_voxels,best_gt_instance_id,best_gt_label,best_voxel_iou,purity_at_best_iou,coverage_at_best_iou,maximum_purity,overlap_gt_count,overlap_gt_count_purity_0p01,overlap_gt_count_purity_0p05
0,stool,344,49,lamp,0.22093023255813954,0.22093023255813954,1.0,0.7936046511627907,8,6,5
1,pillow,192,12,book,0.2231404958677686,0.421875,0.32142857142857145,0.9114583333333334,10,10,6
2,stool,389,68,vent,0.07741116751269035,0.15681233933161953,0.13260869565217392,0.6786632390745502,6,6,3
3,lamp,184,,,0.0,0.0,0.0,0.0,0,0,0
4,end table,260,11,table,0.001658374792703151,0.007692307692307693,0.002109704641350211,0.007692307692307693,1,0,0
5,closet door,984,2,cabinet,0.34573304157549234,0.6422764227642277,0.4281842818428184,0.6422764227642277,4,4,3
6,window,375,48,wall,0.06393400360917763,0.6613333333333333,0.06609808102345416,0.6613333333333333,3,3,3
7,toaster,53,48,wall,0.011699016219090667,0.8301886792452831,0.011727078891257996,0.8301886792452831,1,1,1
8,power outlet,12,25,floor,0.0032485110990795887,1.0,0.0032485110990795887,1.0,1,1,1
9,light switch,31,25,floor,0.008119079837618403,0.967741935483871,0.008121277747698972,0.967741935483871,1,1,1
10,coffee kettle,95,47,undefined,0.08273894436519258,0.6105263157894737,0.08734939759036145,0.6105263157894737,2,2,2
11,book,71,40,lamp,0.07296137339055794,0.9577464788732394,0.07319698600645856,0.9577464788732394,3,3,2
12,cabinet,1309,40,lamp,0.266553480475382,0.359816653934301,0.5069967707212056,0.4346829640947288,4,4,4
13,poster,1042,9,sofa,0.2468525179856115,0.5268714011516314,0.317157712305026,0.5268714011516314,6,6,5
14,closet door,883,25,floor,0.19130661114003122,0.8323895809739524,0.1989713048186248,0.8323895809739524,4,4,4
15,sofa chair,136,75,basket,0.2532188841201717,0.4338235294117647,0.3782051282051282,0.9558823529411765,12,12,11
16,potted plant,102,40,lamp,0.06398348813209494,0.6078431372549019,0.06673842841765339,0.7745098039215687,2,2,2
17,lamp,4026,9,sofa,0.2330263439708717,0.2702434177844014,0.6285384170999422,0.29284649776453053,20,19,9
18,power outlet,12,88,ceiling,0.0005203590477429426,1.0,0.0005203590477429426,1.0,1,1,1
19,ceiling,3342,33,wall,0.19198287141667658,0.4829443447037702,0.2416529420571942,0.4829443447037702,9,7,5
20,sofa chair,7,39,stool,0.02527075812274368,1.0,0.02527075812274368,1.0,2,2,2
21,window,316,0,unknown,0.08402662229617304,0.9588607594936709,0.08433064291678263,0.9588607594936709,2,2,2
22,pillow,284,88,ceiling,0.008379767612630123,0.6830985915492958,0.00841247127184424,0.6830985915492958,1,1,1
23,sofa chair,515,88,ceiling,0.018973937848467824,0.8524271844660194,0.019036468496595984,0.8524271844660194,1,1,1
24,end table,36,75,basket,0.19254658385093168,0.8611111111111112,0.1987179487179487,1.0,10,10,10
25,sofa chair,42,0,unknown,0.00636766334440753,0.5476190476190477,0.0064013359309769,0.9523809523809523,2,2,2
26,ceiling light,327,61,window,0.09107635694572216,0.30275229357798167,0.11525029103608847,0.8348623853211009,4,3,3
27,paper bag,237,88,ceiling,0.005698005698005698,0.5569620253164557,0.005723949525172369,0.5569620253164557,1,1,1
