predicted_index,predicted_label,gt_index,gt_instance_id,gt_label,intersection_voxels,predicted_voxels,gt_voxels,purity,coverage,voxel_iou,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,stool,7,25,floor,100,344,3694,0.29069767441860467,0.02707092582566324,0.025393600812595226,0.00911115610447459,1.8227477783260095,False,False
0,stool,13,42,window,15,344,358,0.0436046511627907,0.04189944134078212,0.021834061135371178,0.08614122472897744,0.5295742284112802,True,False
0,stool,18,50,blinds,77,344,420,0.2238372093023256,0.18333333333333332,0.11208151382823872,0.13890857547838412,0.4381687326383733,True,False
0,stool,19,57,wall,273,344,2102,0.7936046511627907,0.12987630827783064,0.12563276576161989,0.043169904409497376,0.6535203922530166,False,False
0,stool,29,88,ceiling,3,344,23061,0.00872093023255814,0.00013008976193573565,0.0001281941714383386,0.001979414093428345,2.248143894384668,False,False
0,stool,40,31,wall-plug,30,344,30,0.0872093023255814,1.0,0.0872093023255814,0.13186813186813187,0.20799994890869292,False,False
0,stool,42,49,lamp,76,344,76,0.22093023255813954,1.0,0.22093023255813954,0.1087912087912088,0.13952951880462655,True,False
0,stool,90,58,blinds,2,344,521,0.005813953488372093,0.003838771593090211,0.002317497103128621,0.031578947368421054,0.7492410139623775,True,False
1,pillow,30,11,table,175,192,948,0.9114583333333334,0.18459915611814345,0.18134715025906736,0.12180451127819548,0.5315049076742601,True,False
1,pillow,43,54,undefined,59,192,144,0.3072916666666667,0.4097222222222222,0.21299638989169675,0.22588235294117648,0.23455786333425077,False,False
1,pillow,45,77,sofa,105,192,1289,0.546875,0.08145849495733126,0.07630813953488372,0.04298507462686567,0.598996678968227,True,False
1,pillow,46,86,blanket,3,192,477,0.015625,0.006289308176100629,0.0045045045045045045,0.030456852791878174,0.6456873584253002,False,False
1,pillow,47,12,book,81,192,252,0.421875,0.32142857142857145,0.2231404958677686,0.2202247191011236,0.3135903135938606,True,False
1,pillow,48,59,book,75,192,251,0.390625,0.29880478087649404,0.20380434782608695,0.2628755364806867,0.3363629666059592,True,False
1,pillow,49,43,pot,70,192,213,0.3645833333333333,0.3286384976525822,0.208955223880597,0.2727272727272727,0.31569186796336085,True,False
1,pillow,50,24,undefined,2,192,76,0.010416666666666666,0.02631578947368421,0.007518796992481203,0.05233033524121014,0.38643281892595693,False,False
