predicted_index,predicted_label,predicted_voxels,best_gt_instance_id,best_gt_label,best_voxel_iou,purity_at_best_iou,coverage_at_best_iou,maximum_purity,overlap_gt_count,overlap_gt_count_purity_0p01,overlap_gt_count_purity_0p05
0,stool,90,49,lamp,0.23333333333333334,0.23333333333333334,1.0,0.8555555555555555,8,8,6
1,pillow,56,12,book,0.28,0.5,0.3888888888888889,0.875,11,11,8
2,stool,103,68,vent,0.09251101321585903,0.20388349514563106,0.14482758620689656,0.7475728155339806,6,6,3
3,lamp,57,,,0.0,0.0,0.0,0.0,0,0,0
4,end table,78,11,table,0.0029498525073746312,0.01282051282051282,0.003816793893129771,0.01282051282051282,1,1,0
5,cabinet,273,2,cabinet,0.35,0.6666666666666666,0.42424242424242425,0.6666666666666666,4,4,3
6,window,100,48,wall,0.06796116504854369,0.7,0.07,0.7,3,3,3
7,toaster,15,48,wall,0.013986013986013986,0.9333333333333333,0.014,0.9333333333333333,2,2,2
8,power outlet,6,25,floor,0.005791505791505791,1.0,0.005791505791505791,1.0,1,1,1
9,light switch,14,25,floor,0.013513513513513514,1.0,0.013513513513513514,1.0,1,1,1
10,coffee kettle,33,47,undefined,0.12234042553191489,0.696969696969697,0.12921348314606743,0.696969696969697,2,2,2
11,book,25,40,lamp,0.09090909090909091,1.0,0.09090909090909091,1.0,3,3,3
12,cabinet,337,40,lamp,0.2830188679245283,0.40059347181008903,0.4909090909090909,0.47477744807121663,4,4,4
13,poster,300,9,sofa,0.27229299363057324,0.57,0.342685370741483,0.57,6,6,5
14,closet door,294,25,floor,0.20253164556962025,0.7619047619047619,0.21621621621621623,0.7619047619047619,5,4,4
15,sofa chair,45,75,basket,0.2911392405063291,0.5111111111111111,0.40350877192982454,1.0,12,12,12
16,potted plant,36,40,lamp,0.08362369337979095,0.6666666666666666,0.08727272727272728,0.8611111111111112,2,2,2
17,lamp,1118,9,sofa,0.24672320740169623,0.28622540250447226,0.6412825651302605,0.295169946332737,21,19,11
18,power outlet,6,88,ceiling,0.0009876543209876543,1.0,0.0009876543209876543,1.0,1,1,1
19,ceiling,926,33,wall,0.20431073192635832,0.49136069114470843,0.2591116173120729,0.49136069114470843,9,9,5
20,sofa chair,4,39,stool,0.045454545454545456,1.0,0.045454545454545456,1.0,2,2,2
21,window,82,0,unknown,0.07860696517412935,0.9634146341463414,0.07884231536926148,1.0,2,2,2
22,pillow,85,88,ceiling,0.011494252873563218,0.8235294117647058,0.011522633744855968,0.8235294117647058,1,1,1
23,sofa chair,155,88,ceiling,0.02366086099244167,0.9290322580645162,0.023703703703703703,0.9290322580645162,1,1,1
24,end table,15,75,basket,0.2413793103448276,0.9333333333333333,0.24561403508771928,1.0,10,10,10
25,sofa chair,12,0,unknown,0.007952286282306162,0.6666666666666666,0.007984031936127744,1.0,2,2,2
26,ceiling light,93,61,window,0.11400651465798045,0.3763440860215054,0.14056224899598393,0.8602150537634409,4,4,4
27,paper bag,69,88,ceiling,0.0077087092012465145,0.6811594202898551,0.007736625514403292,0.6811594202898551,1,1,1
28,pillow,54,43,pot,0.5584415584415584,0.7962962962962963,0.6515151515151515,0.9259259259259259,12,12,10
29,pillow,20,55,plant-stand,0.21428571428571427,0.6,0.25,1.0,5,5,5
30,pillow,14,72,cushion,0.06015037593984962,0.5714285714285714,0.06299212598425197,1.0,6,6,6
31,pillow,65,72,cushion,0.3333333333333333,0.7384615384615385,0.3779527559055118,1.0,8,8,6
32,pillow,13,72,cushion,0.05263157894736842,0.5384615384615384,0.05511811023622047,1.0,2,2,2
33,pillow,559,11,table,0.35927152317880795,0.3881932021466905,0.8282442748091603,0.48300536672629696,28,24,16
34,coffee table,213,78,lamp,0.5165289256198347,0.5868544600938967,0.8116883116883117,0.6901408450704225,12,8,5
35,cup,24,78,lamp,0.11949685534591195,0.7916666666666666,0.12337662337662338,0.7916666666666666,3,3,3
