predicted_index,predicted_label,gt_index,gt_instance_id,gt_label,intersection_voxels,predicted_voxels,gt_voxels,purity,coverage,voxel_iou,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,trash bin,3,61,chair,423,753,9842,0.5617529880478087,0.04297906929485877,0.04158474243020055,0.010869396738793478,1.189183037518634,True,False
0,trash bin,4,10,ceiling,595,753,26753,0.7901726427622842,0.022240496392927897,0.022109917877447885,0.005880392193857977,1.1909939988261262,False,False
0,trash bin,21,4,chair,483,753,32812,0.6414342629482072,0.014720224308179933,0.014600084638171815,0.001820791294475505,0.9776594139322734,True,False
0,trash bin,34,58,table,428,753,26897,0.5683930942895087,0.015912555303565452,0.015722577327161855,0.0021001796945193173,1.6721830678947425,True,False
1,sofa chair,3,61,chair,1106,5689,9842,0.19441026542450343,0.112375533428165,0.07667244367417678,0.11538561852846822,2.0983591386860896,True,True
1,sofa chair,4,10,ceiling,2837,5689,26753,0.49868166637370365,0.10604418196090158,0.09582840736362101,0.07812316850784672,1.7642854272207034,False,False
1,sofa chair,11,64,tablet,60,5689,223,0.010546669010370891,0.26905829596412556,0.010252904989747095,0.001866193897545955,0.7940152160104972,False,False
1,sofa chair,12,8,wall,2483,5689,14485,0.4364563192125154,0.17141870900932,0.1403538522412526,0.12488221573443317,1.3402277821738153,False,False
1,sofa chair,18,51,wall,2252,5689,8254,0.39585164352258745,0.27283741216379936,0.19262680694551365,0.28651802458845593,1.0872270243327178,False,False
1,sofa chair,21,4,chair,4501,5689,32812,0.7911759535946563,0.13717542362550286,0.13238235294117648,0.0545627212293879,1.6149541736415385,True,True
1,sofa chair,34,58,table,4350,5689,26897,0.7646335032518896,0.16172807376287318,0.15405864853378665,0.0629350104821803,0.637134224126412,True,False
1,sofa chair,36,9,sofa,789,5689,10651,0.13868869748637722,0.07407755140362407,0.05073628705549482,0.08837821065737246,1.405408466592423,True,True
1,sofa chair,39,52,other-leaf,66,5689,67,0.011601335911407981,0.9850746268656716,0.011599297012302284,0.002474540782335586,0.5429194582669982,False,False
2,trash bin,3,61,chair,365,740,9842,0.49324324324324326,0.03708595813858972,0.035724772438093376,0.0093000186000372,0.9261023191631866,True,False
2,trash bin,4,10,ceiling,660,740,26753,0.8918918918918919,0.024670130452659516,0.024596578839488688,0.0050313516097180554,1.1847346436875164,False,False
