absolute_clean_gate_pass,bbox_iou_0p025,bbox_iou_0p05,bbox_iou_0p10,case_key,center_distance_m_0p025,center_distance_m_0p05,center_distance_m_0p10,coverage_0p025,coverage_0p05,coverage_0p10,entity_type,first_frame,first_mask_idx,gt_instance_id,gt_label,gt_voxels_0p025,gt_voxels_0p05,gt_voxels_0p10,last_frame,map_label,maximum_coverage_0p025,maximum_coverage_0p05,maximum_coverage_0p10,maximum_purity_0p025,maximum_purity_0p05,maximum_purity_0p10,median_maximum_coverage,median_maximum_purity,median_total_gt_support,median_voxel_iou,minimum_coverage,minimum_overlap_gt_count_purity_0p05,minimum_overlap_prediction_count_coverage_0p05,minimum_purity,observation_count,overlap_gt_count_purity_0p05_0p025,overlap_gt_count_purity_0p05_0p05,overlap_gt_count_purity_0p05_0p10,overlap_prediction_count_coverage_0p05_0p025,overlap_prediction_count_coverage_0p05_0p05,overlap_prediction_count_coverage_0p05_0p10,phenomenon,predicted_index,predicted_label,predicted_uuid,predicted_voxels_0p025,predicted_voxels_0p05,predicted_voxels_0p10,purity_0p025,purity_0p05,purity_0p10,rank_within_scene_phenomenon,scene_id,stable_score,total_gt_support_0p025,total_gt_support_0p05,total_gt_support_0p10,voxel_iou_0p025,voxel_iou_0p05,voxel_iou_0p10
,,,,office0:pred:8:contamination,,,,,,,prediction,10,9,,,,,,389,chair,,,,0.12327656123276562,0.1657142857142857,0.20408163265306123,,0.1657142857142857,0.46,,,3.0,,,246,3.0,4.0,4.0,,,,contamination,8,chair,9d5b4b06-4665-481a-953c-e71ecb925abd,1233.0,350.0,98.0,,,,1,office0,1.2734693877551022,,,,,,
,,,,office0:pred:26:contamination,,,,,,,prediction,74,2,,,,,,74,floor,,,,0.23783314020857474,0.23980978260869565,0.27505827505827507,,0.23980978260869565,0.47214673913043476,,,3.0,,,1,3.0,3.0,4.0,,,,contamination,26,floor,c44b15ff-cf3e-4743-b38f-86a680ec9beb,3452.0,1472.0,429.0,,,,2,office0,1.1599067599067598,,,,,,
,,,,office0:pred:34:contamination,,,,,,,prediction,345,0,,,,,,352,ceiling,,,,0.40539629005059025,0.4196621914248592,0.4362745098039216,,0.4196621914248592,1.162841056734517,,,5.0,,,8,5.0,5.0,6.0,,,,contamination,34,ceiling,92508605-eca4-4363-84b6-6708d19e094a,8895.0,2309.0,612.0,,,,3,office0,1.1274509803921569,,,,,,
,,,,room0:pred:17:contamination,,,,,,,prediction,7,20,,,,,,348,lamp,,,,0.2998902756823481,0.29284649776453053,0.295169946332737,,0.295169946332737,1.7131147540983607,,,8.0,,,29,8.0,9.0,11.0,,,,contamination,17,lamp,bad208e3-b02a-4b68-92f0-7154c7ad968a,14582.0,4026.0,1118.0,,,,1,room0,1.400219448635304,,,,,,
,,,,room0:pred:39:contamination,,,,,,,prediction,123,16,,,,,,343,blinds,,,,0.38070886968788575,0.39192795196797864,0.43859649122807015,,0.39192795196797864,1.553702468312208,,,5.0,,,252,5.0,6.0,7.0,,,,contamination,39,blinds,d1405e49-08b0-41f2-9caa-e467043a7e92,11342.0,2998.0,741.0,,,,2,room0,1.1228070175438596,,,,,,
,,,,room0:pred:33:contamination,,,,,,,prediction,0,0,,,,,,353,pillow,,,,0.3933379597501735,0.4222111055527764,0.48300536672629696,,0.4222111055527764,2.499249624812406,,,13.0,,,608,13.0,14.0,16.0,,,,contamination,33,pillow,a79fff03-b643-4f0a-a17e-6c6fd6c43b93,7205.0,1999.0,559.0,,,,3,room0,1.033989266547406,,,,,,
,,,,office0:gt:4:fragmentation,,,,,,,gt_instance,17,8,4,chair,32812.0,9128.0,2502.0,238,picture,0.13717542362550286,0.16159070990359334,0.16147082334132695,,,,0.16147082334132695,,,,,,4.0,,2,,,,4.0,5.0,5.0,fragmentation,11,picture,a036bb7e-c379-40ec-9eda-f80c14c8ac52,,,,,,,1,office0,3.3536371603856265,,,,,,
,,,,office0:gt:10:fragmentation,,,,,,,gt_instance,0,6,10,ceiling,26753.0,6935.0,1834.0,359,closet door,0.15430045228572498,0.167267483777938,0.19247546346782987,,,,0.167267483777938,,,,,,4.0,,150,,,,4.0,5.0,5.0,fragmentation,7,closet door,f9871d19-ba20-4689-b1c9-3637d885018c,,,,,,,2,office0,3.2300981461286806,,,,,,
,,,,office0:gt:0:fragmentation,,,,,,,gt_instance,74,2,0,unknown,6742.0,1744.0,517.0,74,floor,0.18065855829130822,0.21043577981651376,0.22823984526112184,,,,0.21043577981651376,,,,,,4.0,,1,,,,4.0,4.0,4.0,fragmentation,26,floor,c44b15ff-cf3e-4743-b38f-86a680ec9beb,,,,,,,3,office0,3.0870406189555126,,,,,,
,,,,room0:gt:48:fragmentation,,,,,,,gt_instance,0,20,48,wall,14267.0,3752.0,1000.0,399,cabinet,0.10632929137169693,0.12766524520255865,0.137,,,,0.12766524520255865,,,,,,3.0,,251,,,,3.0,3.0,3.0,fragmentation,12,cabinet,05a76b48-14a2-4f04-b6d7-cd3efeaad3f2,,,,,,,1,room0,2.589,,,,,,
