n,positives,prevalence,scene,target
72,47,0.6527777777777778,room0,sidecar_original_unified
72,30,0.4166666666666667,room0,sidecar_strict_unified
72,33,0.4583333333333333,room0,sidecar_original_mask
72,27,0.375,room0,sidecar_strict_mask
44,27,0.6136363636363636,room0,sidecar_original_association
20,7,0.35,room0,sidecar_strict_association
8,7,0.875,room0,geometry_partition_2cm
8,1,0.125,room0,geometry_overmerge_2cm
8,7,0.875,room0,geometry_partition_5cm
8,1,0.125,room0,geometry_overmerge_5cm
8,7,0.875,room0,geometry_partition_7cm
8,1,0.125,room0,geometry_overmerge_7cm
35,25,0.7142857142857143,office0,sidecar_original_unified
35,24,0.6857142857142857,office0,sidecar_strict_unified
35,23,0.6571428571428571,office0,sidecar_original_mask
35,22,0.6285714285714286,office0,sidecar_strict_mask
24,18,0.75,office0,sidecar_original_association
23,16,0.6956521739130435,office0,sidecar_strict_association
5,3,0.6,office0,geometry_partition_2cm
5,2,0.4,office0,geometry_overmerge_2cm
5,3,0.6,office0,geometry_partition_5cm
5,2,0.4,office0,geometry_overmerge_5cm
5,3,0.6,office0,geometry_partition_7cm
5,2,0.4,office0,geometry_overmerge_7cm
