map_label,num_detections,object_index,object_voxels,scale,scene,score__combined_mean,score__combined_top2_mean,score__foreign_owner_link_fraction,score__fragmentation,score__framebalanced_majority_entropy,score__framebalanced_majority_entropy_size_residual,score__framebalanced_mean_disagreement,score__framebalanced_mean_disagreement_size_residual,score__framebalanced_semantic_mean,score__frozen_combined_max,score__frozen_semantic_max,score__mean_owner_entropy,score__mean_owner_entropy_size_residual,score__multi_owner_voxel_fraction,score__nonspatial_owner_label_entropy,score__owner_overlap_mean,score__pair_conflict,score__persistent_conflict_fraction,score__semantic_mean,score__size_num_detections,score__size_object_voxels,score__voxel_majority_entropy,score__voxel_mean_disagreement,score__voxel_second_fraction,score__voxel_second_region,score__voxel_second_region_size_residual,score__voxel_vote_entropy,target__geometry_overmerge_2cm,target__geometry_overmerge_5cm,target__geometry_overmerge_7cm,target__geometry_partition_2cm,target__geometry_partition_5cm,target__geometry_partition_7cm,target__sidecar_conservative_association,target__sidecar_conservative_mask,target__sidecar_conservative_unified,target__sidecar_original_association,target__sidecar_original_mask,target__sidecar_original_unified,target__sidecar_strict_association,target__sidecar_strict_mask,target__sidecar_strict_unified
stool,109,0,344,0.05,room0,0.23429951690821252,0.3188405797101449,0.036231884057971016,0.45652173913043476,0.11594202898550725,0.14492753623188406,0.2753623188405797,0.2318840579710145,0.17572463768115942,0.45652173913043476,0.30434782608695654,0.036231884057971016,0.07246376811594203,0.036231884057971016,0.6086956521739131,0.036231884057971016,0.06521739130434782,0.18840579710144928,0.1811594202898551,0.6231884057971014,0.7536231884057971,0.11594202898550725,0.30434782608695654,0.11594202898550725,0.12318840579710146,0.014492753623188406,0.21739130434782608,,,,,,,,1,1,1,1,1,,1,1
pillow,155,1,192,0.05,room0,0.5225442834138486,0.5664251207729468,0.5797101449275363,0.45652173913043476,0.855072463768116,0.855072463768116,0.4927536231884058,0.391304347826087,0.6304347826086957,0.855072463768116,0.855072463768116,0.7971014492753623,0.9420289855072463,0.6231884057971014,0.5507246376811594,0.6666666666666666,0.43478260869565216,0.4782608695652174,0.6763285024154589,0.7101449275362319,0.6521739130434783,0.855072463768116,0.4782608695652174,0.8115942028985508,0.6956521739130435,0.6666666666666666,0.463768115942029,,,,,,,1,1,1,1,1,1,1,1,1
stool,113,2,389,0.05,room0,0.286634460547504,0.3466183574879227,0.08695652173913043,0.45652173913043476,0.2608695652173913,0.2608695652173913,0.14492753623188406,0.11594202898550725,0.20108695652173914,0.45652173913043476,0.30434782608695654,0.11594202898550725,0.18840579710144928,0.07246376811594203,0.5072463768115942,0.09178743961352658,0.16666666666666666,0.09420289855072464,0.23671497584541065,0.6376811594202898,0.782608695652174,0.2608695652173913,0.14492753623188406,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.10144927536231885,,,,,,,,0,0,0,1,1,,0,0
lamp,160,3,184,0.05,room0,0.22141706924315618,0.2995169082125604,0.10144927536231885,0.45652173913043476,0.11594202898550725,0.07246376811594203,0.21739130434782608,0.10144927536231885,0.13768115942028986,0.45652173913043476,0.18840579710144928,0.07246376811594203,0.057971014492753624,0.10144927536231885,0.5797101449275363,0.09178743961352658,0.06521739130434782,0.09420289855072464,0.14251207729468598,0.7246376811594203,0.5869565217391305,0.11594202898550725,0.18840579710144928,0.11594202898550725,0.12318840579710146,0.043478260869565216,0.2898550724637681,,,,,,,0,1,1,1,1,1,1,1,1
end table,533,4,260,0.05,room0,0.4742351046698872,0.6461352657004831,0.15942028985507245,0.45652173913043476,0.7971014492753623,0.7681159420289855,0.9420289855072463,0.782608695652174,0.8369565217391304,0.9420289855072463,0.9420289855072463,0.10144927536231885,0.11594202898550725,0.14492753623188406,0.8405797101449275,0.1352657004830918,0.13043478260869565,0.8260869565217391,0.8357487922705314,0.9710144927536232,0.6956521739130435,0.782608695652174,0.9420289855072463,0.7246376811594203,0.782608695652174,0.7536231884057971,0.6811594202898551,,,,,,,0,1,1,1,1,1,0,1,1
closet door,193,5,984,0.05,room0,0.3993558776167472,0.4359903381642512,0.17391304347826086,0.45652173913043476,0.2318840579710145,0.2318840579710145,0.7971014492753623,0.7536231884057971,0.5181159420289855,0.7681159420289855,0.7681159420289855,0.3188405797101449,0.4782608695652174,0.30434782608695654,0.9710144927536232,0.26570048309178745,0.32608695652173914,0.7971014492753623,0.41545893719806765,0.7898550724637681,0.8985507246376812,0.2318840579710145,0.7681159420289855,0.2318840579710145,0.2463768115942029,0.2463768115942029,0.9710144927536232,,,,,,,,1,1,0,1,1,,1,1
window,123,6,375,0.05,room0,0.2608695652173913,0.358695652173913,0.036231884057971016,0.45652173913043476,0.3188405797101449,0.30434782608695654,0.15942028985507245,0.13043478260869565,0.21557971014492755,0.45652173913043476,0.3188405797101449,0.036231884057971016,0.08695652173913043,0.036231884057971016,0.5362318840579711,0.036231884057971016,0.06521739130434782,0.09420289855072464,0.2608695652173913,0.6521739130434783,0.7681159420289855,0.3188405797101449,0.17391304347826086,0.3188405797101449,0.2898550724637681,0.2898550724637681,0.11594202898550725,,,,,,,,0,0,1,1,1,,0,0
toaster,13,7,53,0.05,room0,0.5901771336553945,0.6570048309178744,0.7971014492753623,0.45652173913043476,0.7681159420289855,0.782608695652174,0.9565217391304348,0.9710144927536232,0.8695652173913044,0.8840579710144928,0.8840579710144928,0.5942028985507246,0.4927536231884058,0.4927536231884058,0.8985507246376812,0.6280193236714976,0.4782608695652174,0.9420289855072463,0.8357487922705314,0.42028985507246375,0.34057971014492755,0.8115942028985508,0.8840579710144928,0.7681159420289855,0.8115942028985508,0.8260869565217391,0.8840579710144928,,,,,,,,0,0,0,0,0,,0,0
power outlet,150,8,12,0.05,room0,0.3381642512077294,0.3913043478260869,0.21739130434782608,0.45652173913043476,0.11594202898550725,0.014492753623188406,0.7391304347826086,0.6086956521739131,0.48007246376811596,0.7391304347826086,0.7391304347826086,0.4927536231884058,0.2463768115942029,0.8043478260869565,0.9420289855072463,0.5048309178743962,0.2318840579710145,0.9420289855072463,0.3260869565217391,0.6956521739130435,0.10869565217391304,0.11594202898550725,0.7391304347826086,0.11594202898550725,0.12318840579710146,0.08695652173913043,0.782608695652174,,,,,,,,0,0,0,0,0,,0,0
light switch,73,9,31,0.05,room0,0.4275362318840579,0.5181159420289855,0.2898550724637681,0.45652173913043476,0.43478260869565216,0.391304347826087,0.8985507246376812,0.8405797101449275,0.6847826086956521,0.8405797101449275,0.8405797101449275,0.6376811594202898,0.4492753623188406,0.5217391304347826,0.8115942028985508,0.48309178743961345,0.2463768115942029,0.9420289855072463,0.5797101449275363,0.5507246376811594,0.17391304347826086,0.43478260869565216,0.8405797101449275,0.391304347826087,0.463768115942029,0.4782608695652174,0.8115942028985508,,,,,,,,0,0,0,0,0,,0,0
