family,minimum_support,n,scene,score,spearman_p,spearman_rho
association,3,17,room0,voxel_second_region_residual,0.29331661090679234,0.27069514600185485
association,3,17,room0,voxel_owner_entropy_residual,0.3395779571350007,0.24681028017816178
association,3,17,room0,framebalanced_disagreement_residual,0.5484153461579099,-0.15657856484421015
association,3,17,room0,nonspatial_label_entropy_residual,0.7458883850818887,-0.08492396737313093
association,3,17,room0,num_detections,0.6045005038722878,-0.13534757300092742
mask,3,25,room0,voxel_second_region_residual,0.2247765473601488,-0.25173932812768385
mask,3,25,room0,voxel_owner_entropy_residual,0.7330030230618325,-0.07181520710390983
mask,3,25,room0,framebalanced_disagreement_residual,0.39359868852974134,-0.17837970796777602
mask,3,25,room0,nonspatial_label_entropy_residual,0.1979987534194484,-0.2664112521596655
mask,3,25,room0,num_detections,0.6121606931175625,-0.1065645008638662
association,5,15,room0,voxel_second_region_residual,0.5206104419250075,0.18012975515299126
association,5,15,room0,voxel_owner_entropy_residual,0.3465165015260384,0.2614786768349873
association,5,15,room0,framebalanced_disagreement_residual,0.25167562719094605,-0.31571129128965136
association,5,15,room0,nonspatial_label_entropy_residual,0.36530505323000323,-0.25179428139665444
association,5,15,room0,num_detections,0.9290243623294071,0.025179428139665443
mask,5,23,room0,voxel_second_region_residual,0.3655654005079542,-0.1978240334677019
mask,5,23,room0,voxel_owner_entropy_residual,0.7879420871903688,-0.059347210040310565
mask,5,23,room0,framebalanced_disagreement_residual,0.5896059812770478,-0.11869442008062113
mask,5,23,room0,nonspatial_label_entropy_residual,0.5405697268627598,-0.1345203427580373
mask,5,23,room0,num_detections,0.9037248706993389,-0.026706244518139757
association,10,10,room0,voxel_second_region_residual,0.9329568385993042,0.030677155956992445
association,10,10,room0,voxel_owner_entropy_residual,0.09346396626964018,0.5583242384172624
association,10,10,room0,framebalanced_disagreement_residual,0.23794186616753038,-0.41107388982369863
association,10,10,room0,nonspatial_label_entropy_residual,0.8530368033430834,-0.06748974310538336
association,10,10,room0,num_detections,0.0560193134989957,-0.6196785503312472
mask,10,20,room0,voxel_second_region_residual,0.6609051013516337,-0.1045505903195781
mask,10,20,room0,voxel_owner_entropy_residual,0.6088209091026862,0.12185032828612699
mask,10,20,room0,framebalanced_disagreement_residual,0.7358936167877855,0.08048138967046659
mask,10,20,room0,nonspatial_label_entropy_residual,0.5714395255337563,-0.13463709113096747
mask,10,20,room0,num_detections,0.9473025461934123,0.015795412925979423
association,3,22,office0,voxel_second_region_residual,0.051448333361732726,0.4203231855049909
association,3,22,office0,voxel_owner_entropy_residual,0.477790677786316,0.15968859150800196
association,3,22,office0,framebalanced_disagreement_residual,0.3801411259484647,-0.19675915739378813
association,3,22,office0,nonspatial_label_entropy_residual,0.08525725328229253,-0.37526819004380463
association,3,22,office0,num_detections,0.0013348383344056265,0.6400757346035504
mask,3,23,office0,voxel_second_region_residual,0.17022832173291258,0.2960217535391616
mask,3,23,office0,voxel_owner_entropy_residual,0.7640186577674878,-0.06622189478171563
mask,3,23,office0,framebalanced_disagreement_residual,0.8332965731602884,0.04645416499612887
mask,3,23,office0,nonspatial_label_entropy_residual,0.7047861188902008,-0.08351865834410403
mask,3,23,office0,num_detections,0.1490612772569384,0.3106772120612951
association,5,19,office0,voxel_second_region_residual,0.21404554640512286,0.29877023293488664
association,5,19,office0,voxel_owner_entropy_residual,0.6107681744410803,-0.12478050904927618
association,5,19,office0,framebalanced_disagreement_residual,0.19221878163969583,-0.31283000860241067
association,5,19,office0,nonspatial_label_entropy_residual,0.015458538733086492,-0.5465737790749985
association,5,19,office0,num_detections,0.00045221509985045576,0.7243962342295803
mask,5,22,office0,voxel_second_region_residual,0.14772979068134565,0.3191189056934662
mask,5,22,office0,voxel_owner_entropy_residual,0.6345417834497689,-0.10731432226859926
mask,5,22,office0,framebalanced_disagreement_residual,0.8203031708593295,-0.05139791224443438
mask,5,22,office0,nonspatial_label_entropy_residual,0.4062442511967548,-0.1863880334138829
mask,5,22,office0,num_detections,0.04198659030731143,0.43700564971751416
association,10,17,office0,voxel_second_region_residual,0.10483023704756146,0.4071122776238574
association,10,17,office0,voxel_owner_entropy_residual,0.9329894626710954,-0.022072352401293474
association,10,17,office0,framebalanced_disagreement_residual,0.37336367890375516,-0.2305334584135096
association,10,17,office0,nonspatial_label_entropy_residual,0.04750487988499848,-0.4868179946285282
association,10,17,office0,num_detections,0.0017495089764338705,0.7001840678410317
mask,10,21,office0,voxel_second_region_residual,0.25306481196664155,0.26103896103896107
mask,10,21,office0,voxel_owner_entropy_residual,0.37533722290245836,-0.2038961038961039
mask,10,21,office0,framebalanced_disagreement_residual,0.5863643592427876,-0.125974025974026
mask,10,21,office0,nonspatial_label_entropy_residual,0.23397427165138135,-0.2714285714285714
mask,10,21,office0,num_detections,0.06832532579509944,0.4053264260542763
