association_repeated,dominant_fraction,dominant_gt_id,dominant_gt_label,eligible,mask_repeated,mixed,object_index,pure,reliable_foreground,scene,split_incident,unified,wrong,wrong_fraction
False,0.0,,,5,True,5,0,0,False,room0,False,True,0,0.0
True,0.5294117647058824,60,rug,153,True,119,1,34,True,room0,True,True,16,0.47058823529411764
False,0.0,,,0,False,0,2,0,False,room0,False,False,0,0.0
True,0.9358974358974359,60,rug,149,True,71,3,78,True,room0,True,True,5,0.0641025641025641
False,0.9608938547486033,60,rug,386,True,207,4,179,True,room0,True,True,7,0.03910614525139665
False,0.0,,,135,True,135,5,0,False,room0,False,True,0,0.0
False,0.0,,,0,False,0,6,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,7,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,8,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,9,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,10,0,False,room0,False,False,0,0.0
False,1.0,40,lamp,17,True,16,11,1,False,room0,False,True,0,0.0
False,0.0,,,0,False,0,12,0,False,room0,False,False,0,0.0
False,1.0,60,rug,227,True,214,13,13,True,room0,True,True,0,0.0
False,0.0,,,0,False,0,14,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,15,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,16,0,False,room0,False,False,0,0.0
False,1.0,60,rug,17,True,10,17,7,True,room0,True,True,0,0.0
False,0.0,,,0,False,0,18,0,False,room0,False,False,0,0.0
False,0.0,,,2,True,2,20,0,False,room0,False,True,0,0.0
False,0.0,,,0,False,0,21,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,22,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,23,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,24,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,25,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,26,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,27,0,False,room0,False,False,0,0.0
False,1.0,11,table,119,True,118,28,1,False,room0,False,True,0,0.0
False,0.0,,,1,False,1,29,0,False,room0,False,False,0,0.0
False,0.0,,,1,False,1,30,0,False,room0,False,False,0,0.0
True,0.7288135593220338,60,rug,225,True,166,31,59,True,room0,True,True,16,0.2711864406779661
False,1.0,60,rug,1,False,0,32,1,False,room0,False,False,0,0.0
True,0.7457627118644068,60,rug,585,True,526,33,59,True,room0,True,True,15,0.2542372881355932
False,1.0,21,blinds,50,True,48,34,2,True,room0,True,True,0,0.0
True,0.5,21,blinds,33,True,29,35,4,True,room0,True,True,2,0.5
False,0.0,,,0,False,0,36,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,37,0,False,room0,False,False,0,0.0
False,1.0,19,blinds,426,True,159,38,267,True,room0,True,True,0,0.0
False,0.0,,,129,True,129,39,0,False,room0,False,True,0,0.0
False,1.0,19,blinds,1,False,0,40,1,False,room0,False,False,0,0.0
False,1.0,19,blinds,228,False,1,41,227,True,room0,True,True,0,0.0
False,1.0,60,rug,1,False,0,42,1,False,room0,False,False,0,0.0
True,0.625,83,lamp,49,True,33,43,16,True,room0,True,True,6,0.375
False,0.0,,,3,True,3,45,0,False,room0,False,True,0,0.0
False,0.0,,,2,True,2,46,0,False,room0,False,True,0,0.0
False,1.0,19,blinds,2,False,0,47,2,True,room0,True,True,0,0.0
False,1.0,19,blinds,7,True,4,48,3,True,room0,True,True,0,0.0
False,0.0,,,1,False,1,49,0,False,room0,False,False,0,0.0
False,0.0,,,3,True,3,50,0,False,room0,False,True,0,0.0
False,1.0,83,lamp,18,True,12,51,6,True,room0,True,True,0,0.0
False,0.0,,,0,False,0,52,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,53,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,54,0,False,room0,False,False,0,0.0
True,0.5675675675675675,83,lamp,93,True,56,55,37,True,room0,True,True,16,0.43243243243243246
False,0.0,,,0,False,0,56,0,False,room0,False,False,0,0.0
False,1.0,83,lamp,12,True,7,57,5,True,room0,True,True,0,0.0
False,0.0,,,0,False,0,58,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,59,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,60,0,False,room0,False,False,0,0.0
False,1.0,19,blinds,2,False,1,61,1,False,room0,False,False,0,0.0
False,1.0,83,lamp,7,True,2,62,5,True,room0,True,True,0,0.0
False,1.0,83,lamp,13,True,6,63,7,True,room0,True,True,0,0.0
False,1.0,83,lamp,2,False,0,64,2,True,room0,True,True,0,0.0
False,0.0,,,0,False,0,65,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,67,0,False,room0,False,False,0,0.0
False,0.0,,,2,True,2,68,0,False,room0,False,True,0,0.0
False,0.0,,,0,False,0,69,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,70,0,False,room0,False,False,0,0.0
False,0.0,,,0,False,0,71,0,False,room0,False,False,0,0.0
True,0.552,58,table,149,True,24,0,125,True,office0,True,True,56,0.448
True,0.5113636363636364,4,chair,180,True,92,1,88,True,office0,True,True,43,0.48863636363636365
True,0.8072289156626506,58,table,144,True,61,2,83,True,office0,True,True,16,0.1927710843373494
True,0.5189873417721519,58,table,172,True,93,3,79,True,office0,True,True,38,0.4810126582278481
True,0.6428571428571429,58,table,115,True,101,4,14,True,office0,True,True,5,0.35714285714285715
True,0.6222222222222222,4,chair,119,True,74,5,45,True,office0,True,True,17,0.37777777777777777
False,1.0,58,table,10,True,2,6,8,True,office0,True,True,0,0.0
True,0.8888888888888888,58,table,40,True,4,7,36,True,office0,True,True,4,0.1111111111111111
False,1.0,61,chair,214,True,210,8,4,True,office0,False,True,0,0.0
True,0.7142857142857143,12,table,66,True,31,9,35,True,office0,False,True,10,0.2857142857142857
True,0.6666666666666666,4,chair,22,True,13,10,9,True,office0,True,True,3,0.3333333333333333
False,1.0,58,table,2,False,1,11,1,False,office0,False,False,0,0.0
False,1.0,5,rug,4,True,3,12,1,False,office0,False,True,0,0.0
True,0.7222222222222222,5,rug,63,True,45,13,18,True,office0,True,True,5,0.2777777777777778
True,0.9295774647887324,5,rug,132,True,61,14,71,True,office0,True,True,5,0.07042253521126761
True,0.8,5,rug,96,True,46,15,50,True,office0,True,True,10,0.2
False,1.0,5,rug,5,False,1,16,4,True,office0,True,True,0,0.0
False,1.0,5,rug,30,True,2,17,28,True,office0,True,True,0,0.0
False,1.0,4,chair,10,True,7,18,3,True,office0,True,True,0,0.0
False,1.0,5,rug,1,False,0,19,1,False,office0,False,False,0,0.0
False,0.0,,,2,True,2,20,0,False,office0,False,True,0,0.0
True,0.5,4,chair,195,True,161,21,34,True,office0,True,True,17,0.5
False,0.0,,,0,False,0,22,0,False,office0,False,False,0,0.0
False,1.0,5,rug,11,False,0,23,11,True,office0,True,True,0,0.0
True,0.6534653465346535,5,rug,111,True,10,24,101,True,office0,True,True,35,0.3465346534653465
True,0.6363636363636364,4,chair,61,True,28,25,33,True,office0,True,True,12,0.36363636363636365
True,0.85,4,chair,36,True,16,27,20,True,office0,True,True,3,0.15
False,0.0,,,1,False,1,28,0,False,office0,False,False,0,0.0
False,1.0,5,rug,1,False,0,29,1,False,office0,False,False,0,0.0
False,1.0,4,chair,1,False,0,30,1,False,office0,False,False,0,0.0
False,1.0,9,sofa,1,False,0,31,1,False,office0,False,False,0,0.0
False,1.0,58,table,1,False,0,32,1,False,office0,False,False,0,0.0
False,1.0,17,vent,2,False,0,33,2,True,office0,False,False,0,0.0
