audit_false_split_pair,audit_gt_instance_id,audit_gt_instance_label,audit_pair_evaluable,bbox_gap_voxels,contact_fraction_r1,contact_fraction_r2,duplicate_score_r1,duplicate_score_r2,exact_voxel_iou,gt_false_split_pair,gt_instance_id,gt_instance_label,label_hist_cosine,left_index,left_label,left_uid,min_distance_m,rank,right_index,right_label,right_uid,scene,voxel_size_m
False,,,False,0,1.0,1.0,0.999133073092352,0.999133073092352,0.09375,False,,,0.999133073092352,58,lamp,69417d68-bddd-4871-9cae-b3c677116479,0.0,1,69,lamp,6797cfd0-932b-450c-83c8-ef8e732576cf,room0,0.05
False,,,False,0,1.0,1.0,0.9991330730923519,0.9991330730923519,0.0,True,88,ceiling,0.9991330730923519,56,lamp,9298f2d5-9b84-4807-a60d-3529209caf3c,0.05,2,69,lamp,6797cfd0-932b-450c-83c8-ef8e732576cf,room0,0.05
False,,,False,0,1.0,1.0,0.9990353307775145,0.9990353307775145,0.010526315789473684,True,88,ceiling,0.9990353307775145,56,lamp,9298f2d5-9b84-4807-a60d-3529209caf3c,0.0,3,60,lamp,022f3839-1dd3-4a4a-9da5-3a7b4d8835b0,room0,0.05
False,,,False,0,1.0,1.0,0.9988287351461661,0.9988287351461661,0.15217391304347827,True,73,chair,0.9988287351461661,30,pillow,7e91358a-7ee0-42d1-a034-5d1cae4d701e,0.0,4,31,pillow,749f087c-3ccc-4137-a3e8-dfddd3380fda,room0,0.05
False,,,False,0,1.0,1.0,0.9983879597356108,0.9983879597356108,0.0428921568627451,True,19,blinds,0.9983879597356108,36,sofa chair,07301056-371a-4faf-936c-69ff8a756f71,0.0,5,38,armchair,57077d42-317f-42d8-85ec-8c42f2c6fbc3,room0,0.05
False,,,False,0,1.0,1.0,0.9983567156703687,0.9983567156703687,0.19444444444444445,False,,,0.9983567156703687,49,pillow,fb8ff2e2-9de0-4000-95de-1cb5cd23b41e,0.0,6,50,pillow,e5c776a0-3e45-4bd4-a8be-c7b8600db837,room0,0.05
False,,,False,0,1.0,1.0,0.998329144382115,0.998329144382115,0.2595419847328244,True,19,blinds,0.998329144382115,40,pillow,a8f03dbc-4fe7-48c5-89c0-a7bf5440f038,0.0,7,41,pillow,021914e2-bff1-40e8-9906-a41dbb050528,room0,0.05
False,,,False,0,1.0,1.0,0.9981688157862911,0.9981688157862911,0.046565774155995346,False,,,0.9981688157862911,47,chair,9971f467-8949-4d3e-8ac5-0b4d348ff155,0.0,8,48,armchair,84d2c2ae-7a6c-466f-b3a9-c1b640721988,room0,0.05
False,,,False,0,1.0,1.0,0.9965813379439922,0.9965813379439922,0.29444444444444445,True,88,ceiling,0.9965813379439922,53,pillow,24cf8b26-2a5c-4ee1-937c-d3e647fdb9ca,0.0,9,54,pillow,b4d9b70f-270a-4079-9cec-18d611c991e1,room0,0.05
False,,,False,0,1.0,1.0,0.9612535285523878,0.9612535285523878,0.026,False,,,0.9612535285523878,29,pillow,eabd0d1a-941c-4434-a64c-4ba4d3020617,0.0,10,33,pillow,a79fff03-b643-4f0a-a17e-6c6fd6c43b93,room0,0.05
False,,,False,0,1.0,1.0,0.900290833313039,0.900290833313039,0.2621359223300971,False,,,0.900290833313039,57,book,681555f1-835c-4c1b-be48-f6d6f8bbd9d5,0.0,11,62,book,5fcf8c0f-1b7d-4056-bff7-731c3c08d6f4,room0,0.05
False,,,False,0,0.8529411764705882,1.0,0.8460670396278214,0.9919406671498596,0.24561403508771928,True,88,ceiling,0.9919406671498596,64,power outlet,639beaf1-136c-4092-9ff9-bdff80080ec5,0.0,12,67,lamp,f38dbff4-d6ce-4bbb-8b64-7be016a85dc5,room0,0.05
False,,,False,0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.0,False,,,1.0,58,lamp,69417d68-bddd-4871-9cae-b3c677116479,0.05,13,59,lamp,37e83b60-4298-4099-b32b-79795170c6d9,room0,0.05
False,,,False,0,0.8055555555555556,0.9444444444444444,0.7936718646755787,0.930511841343782,0.0891089108910891,False,,,0.9852478320110633,24,end table,ab35e58b-5fc2-42a1-8099-c287ee7fd12f,0.0,14,68,end table,cab56457-7af7-48ab-9298-1cb73bd0f4a6,room0,0.05
False,,,False,0,0.7692307692307693,0.8461538461538461,0.7691867069930877,0.8461053776923964,0.03643724696356275,True,73,chair,0.9999427190910138,31,pillow,749f087c-3ccc-4137-a3e8-dfddd3380fda,0.0,15,32,pillow,a97d9dde-e31a-4a3a-8e2a-7a9cf35b0610,room0,0.05
False,,,False,0,0.75,1.0,0.75,1.0,0.02857142857142857,True,88,ceiling,1.0,56,lamp,9298f2d5-9b84-4807-a60d-3529209caf3c,0.0,16,59,lamp,37e83b60-4298-4099-b32b-79795170c6d9,room0,0.05
