accepted_3d,elapsed_seconds,filtered_2d,processed_frame,raw_detections,raw_frame
9,0.6481031971052289,9,0,20,0
9,0.4186131050810218,9,1,16,5
9,0.4237271947786212,9,2,16,10
12,0.4880940821021795,12,3,17,15
10,0.4242406012490392,10,4,16,20
13,0.5404284279793501,13,5,17,25
11,0.4726288840174675,11,6,15,30
12,0.5063019208610058,12,7,20,35
13,0.5683204447850585,13,8,18,40
14,0.6220051711425185,14,9,23,45
10,0.45040117017924786,10,10,21,50
11,0.4880522806197405,11,11,18,55
13,0.5506518017500639,13,12,21,60
12,0.4983782386407256,12,13,17,65
9,0.4075484285131097,9,14,16,70
12,0.48450936935842037,12,15,22,75
12,0.4314493993297219,12,16,17,80
10,0.31919822189956903,10,17,15,85
5,0.17187393549829721,5,18,9,90
6,0.16429375857114792,6,19,12,95
6,0.16616235300898552,6,20,15,100
5,0.1381136579439044,5,21,14,105
7,0.1947161015123129,7,22,13,110
8,0.23370730131864548,8,23,15,115
8,0.2208707295358181,8,24,16,120
8,0.25472843647003174,8,25,15,125
8,0.27674259059131145,8,26,17,130
6,0.25939617957919836,6,27,16,135
8,0.36757700983434916,8,28,16,140
5,0.24865646474063396,5,29,16,145
10,0.4007628234103322,10,30,11,150
9,0.4112229496240616,9,31,13,155
11,0.6860574064776301,11,32,13,160
6,0.4183906111866236,6,33,9,165
6,0.43479261081665754,6,34,12,170
8,0.49749200139194727,8,35,14,175
4,0.21105804294347763,4,36,13,180
6,0.3648342341184616,6,37,14,185
4,0.19798905681818724,4,38,11,190
5,0.2568045649677515,5,39,11,195
7,0.34628880955278873,7,40,12,200
9,0.41994736809283495,9,41,13,205
5,0.29742495343089104,5,42,14,210
6,0.32216559536755085,6,43,11,215
6,0.32711022160947323,6,44,12,220
7,0.33043147996068,7,45,10,225
6,0.3119848622009158,6,46,8,230
7,0.35304812621325254,7,47,8,235
6,0.30933938082307577,6,48,10,240
5,0.23569804523140192,5,49,15,245
3,0.1940793003886938,3,50,10,250
5,0.2609148481860757,5,51,9,255
3,0.1708001336082816,3,52,10,260
1,0.10757757350802422,1,53,9,265
2,0.14437846653163433,2,54,7,270
2,0.14601084310561419,2,55,5,275
3,0.18600831180810928,3,56,6,280
2,0.13745620474219322,2,57,4,285
1,0.10593334399163723,1,58,8,290
0,0.07922569196671247,0,59,10,295
0,0.06832827255129814,0,60,6,300
0,0.09291736874729395,0,61,9,305
0,0.09045029804110527,0,62,8,310
1,0.13842841796576977,1,63,9,315
1,0.10962219722568989,1,64,7,320
1,0.11563486140221357,1,65,10,325
1,0.1364067466929555,1,66,11,330
2,0.13488121330738068,2,67,12,335
1,0.11601149942725897,1,68,10,340
2,0.17010254226624966,2,69,11,345
1,0.15121346060186625,1,70,17,350
2,0.15339322108775377,2,71,13,355
2,0.1459723450243473,2,72,13,360
4,0.17440381832420826,4,73,13,365
3,0.1839811084792018,3,74,11,370
4,0.2095401557162404,4,75,12,375
6,0.23796498775482178,6,76,16,380
4,0.20323436334729195,4,77,16,385
7,0.22130491398274899,7,78,14,390
7,0.2358961310237646,7,79,12,395
6,0.20199679117649794,6,80,13,400
8,0.23506037890911102,8,81,15,405
8,0.21132389083504677,8,82,12,410
3,0.17846552841365337,3,83,18,415
5,0.1858204696327448,5,84,14,420
5,0.19580216985195875,5,85,13,425
5,0.21263710223138332,5,86,17,430
9,0.2576200161129236,9,87,17,435
5,0.1671835482120514,5,88,12,440
7,0.3044183449819684,7,89,15,445
7,0.27205047756433487,7,90,12,450
5,0.20778653863817453,5,91,10,455
4,0.20432876236736774,4,92,11,460
3,0.2018081620335579,3,93,8,465
5,0.1552558746188879,5,94,11,470
4,0.14999488182365894,4,95,10,475
6,0.26063308771699667,6,96,13,480
5,0.2073858380317688,5,97,12,485
4,0.15025284886360168,4,98,10,490
3,0.18399035278707743,3,99,11,495
5,0.23815234750509262,5,100,12,500
3,0.17319629061967134,3,101,12,505
5,0.17190360091626644,5,102,12,510
7,0.2022586679086089,7,103,14,515
6,0.259362880140543,6,104,12,520
6,0.2572423303499818,6,105,13,525
7,0.2920424910262227,7,106,16,530
5,0.188614915125072,5,107,17,535
5,0.14388776384294033,5,108,16,540
4,0.18106599245220423,4,109,15,545
3,0.2250409908592701,3,110,13,550
6,0.2185086142271757,6,111,11,555
3,0.15963883511722088,3,112,11,560
7,0.24704091250896454,7,113,14,565
6,0.20523084048181772,6,114,14,570
6,0.325706223025918,6,115,14,575
6,0.2767622461542487,6,116,12,580
6,0.25185973662883043,6,117,13,585
5,0.20889187883585691,5,118,16,590
6,0.2538467366248369,6,119,13,595
5,0.2639240697026253,5,120,11,600
4,0.18464900460094213,4,121,16,605
7,0.20385931618511677,7,122,14,610
8,0.300814020447433,8,123,13,615
6,0.34666078444570303,6,124,12,620
5,0.1963283782824874,5,125,13,625
8,0.3123947773128748,8,126,14,630
6,0.36178454477339983,6,127,11,635
5,0.23373899888247252,5,128,14,640
5,0.2435226747766137,5,129,12,645
4,0.2001096922904253,4,130,13,650
4,0.16408663522452116,4,131,15,655
3,0.1792078884318471,3,132,17,660
3,0.2435208484530449,3,133,19,665
2,0.1309988209977746,2,134,16,670
4,0.17974312976002693,4,135,19,675
3,0.21331722009927034,3,136,18,680
