bbox_gap_voxels,contact_fraction_r1,contact_fraction_r2,duplicate_score_r1,duplicate_score_r2,exact_voxel_iou,gt_false_split_pair,gt_instance_id,gt_instance_label,label_hist_cosine,left_index,left_label,left_uid,min_distance_m,right_index,right_label,right_uid,scene,voxel_size_m
0,0.0,0.0026560424966799467,0.0,5.37728161449125e-12,0.0,False,,,2.0245465278559558e-09,0,trash bin,4d32d276-88ef-401e-9008-00043c5c2433,0.07500000000000001,1,sofa chair,f3bcde54-e766-4931-ae65-6c52d5db6d46,office0,0.025
0,0.05675675675675676,0.22972972972972974,0.05360418166840225,0.21696930675305673,0.014266304347826086,True,10,ceiling,0.9444546293956586,0,trash bin,4d32d276-88ef-401e-9008-00043c5c2433,0.0,2,trash bin,a66971cb-acd9-4720-9778-9505861322ca,office0,0.025
0,0.09694555112881806,0.18592297476759628,0.016303135388307296,0.03126628704606879,0.003832816207337105,False,,,0.16816795818349856,0,trash bin,4d32d276-88ef-401e-9008-00043c5c2433,0.0,11,picture,a036bb7e-c379-40ec-9eda-f80c14c8ac52,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,0.01858845254958182,1,sofa chair,f3bcde54-e766-4931-ae65-6c52d5db6d46,0.3020761493398643,5,coffee table,6e93297f-d5b9-47be-b76d-dcbc7c95cea2,office0,0.025
0,0.015167474194227933,0.034337476300821575,9.825387196118946e-06,2.224358490232484e-05,0.00019168104274487253,True,4,chair,0.0006477932363885645,1,sofa chair,f3bcde54-e766-4931-ae65-6c52d5db6d46,0.0,11,picture,a036bb7e-c379-40ec-9eda-f80c14c8ac52,office0,0.025
0,0.4663385480752329,0.5371770082615573,0.4517651530917278,0.5203898634935243,0.14452566343556333,False,,,0.9687493237613417,1,sofa chair,f3bcde54-e766-4931-ae65-6c52d5db6d46,0.0,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,0.003943565501141865,1,sofa chair,f3bcde54-e766-4931-ae65-6c52d5db6d46,0.2926174977679907,28,window,803f469d-7639-4541-a1d9-e7b503dfdda3,office0,0.025
0,0.27358490566037735,0.4968553459119497,0.043023309390753564,0.07813428601998924,0.0018345563709139426,False,,,0.15725761363516821,1,sofa chair,f3bcde54-e766-4931-ae65-6c52d5db6d46,0.0,31,pillow,1bbcdac1-983a-480e-b589-d152c490f1b6,office0,0.025
0,0.18181818181818182,0.5454545454545454,1.3679385864070172e-06,4.103815759221051e-06,0.0,True,10,ceiling,7.523662225238594e-06,2,trash bin,a66971cb-acd9-4720-9778-9505861322ca,0.025,6,power outlet,9936e87a-c6b9-419e-9727-762ac54652c1,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,True,10,ceiling,4.4051300633321616e-08,2,trash bin,a66971cb-acd9-4720-9778-9505861322ca,0.1,7,closet door,f9871d19-ba20-4689-b1c9-3637d885018c,office0,0.025
