accepted_3d,elapsed_seconds,filtered_2d,processed_frame,raw_detections,raw_frame
22,1.0667215343564749,22,0,34,0
16,0.6574081117287278,16,1,32,5
21,0.7693150192499161,21,2,40,10
19,0.7888618437573314,19,3,32,15
25,1.1753212604671717,25,4,36,20
19,1.009907173924148,19,5,35,25
20,1.1836056653410196,20,6,45,30
21,1.024467228911817,21,7,42,35
23,1.0019223904237151,23,8,41,40
21,0.7334398198872805,21,9,35,45
23,0.8494542799890041,23,10,44,50
17,0.5815308056771755,17,11,38,55
21,0.6478404346853495,21,12,37,60
20,0.5454760165885091,20,13,41,65
19,0.5663081808015704,19,14,37,70
18,0.5684689749032259,18,15,38,75
17,0.5392960058525205,17,16,31,80
19,0.5777623746544123,19,17,31,85
15,0.4825688786804676,15,18,33,90
12,0.43038809299468994,12,19,29,95
16,0.5044922567903996,16,20,36,100
16,0.5381198665127158,16,21,36,105
18,0.6122373826801777,18,22,34,110
19,0.6675561163574457,19,23,36,115
20,0.6807722086086869,20,24,42,120
21,0.7682737037539482,21,25,45,125
22,0.7549991318956017,22,26,44,130
24,0.7447755122557282,24,27,44,135
20,0.7731393091380596,21,28,38,140
19,0.7245130706578493,19,29,40,145
17,0.6060513854026794,18,30,40,150
17,0.6366030490025878,17,31,29,155
16,0.6308728707954288,16,32,32,160
13,0.6042429516091943,13,33,31,165
17,0.6062510889023542,17,34,29,170
16,0.6497947927564383,16,35,27,175
14,0.6034426037222147,14,36,33,180
16,0.5989736625924706,16,37,27,185
16,0.6296178828924894,16,38,29,190
15,0.5706036537885666,15,39,24,195
15,0.6278835069388151,15,40,22,200
14,0.5716923447325826,14,41,19,205
12,0.5317546492442489,12,42,21,210
11,0.5494914203882217,11,43,21,215
11,0.5482344767078757,11,44,20,220
11,0.5198303861543536,11,45,21,225
12,0.5498504033312201,12,46,23,230
13,0.5958419758826494,13,47,25,235
11,0.5581385772675276,11,48,21,240
11,0.5937819415703416,11,49,28,245
12,0.6498470213264227,12,50,24,250
14,0.9925919147208333,14,51,28,255
12,0.7805261109024286,12,52,26,260
11,0.5533323362469673,11,53,24,265
14,0.6626585377380252,14,54,25,270
13,0.635784275829792,13,55,30,275
12,0.7135245930403471,12,56,27,280
14,0.560771631076932,14,57,32,285
13,0.5485033700242639,13,58,30,290
